op,case,calc_ms,spot_ms,spot2_ms,nodes,cells,linked,note
align,2state1ap1acc_49410×2state1ap2acc_parity_0368715780,0.0217,,,9,81,17,cold
align,2state1ap2acc_parity_0001134600_c×3state1ap0acc_013348,0.1373,,,147,21609,97,cold
align,2state1ap2acc_parity_0001191050_c×2state1ap2acc_parity_1164845312_c,0.0274,,,19,361,57,cold
align,2state1ap2acc_parity_0001191050_c×3state1ap0acc_077964_c,0.0482,,,44,1936,73,cold
align,2state1ap2acc_parity_0001576965_c×2state1ap2acc_parity_0270436363_c,0.0308,,,22,484,41,cold
align,2state1ap2acc_parity_0001576965_c×3state1ap0acc_086172,0.0521,,,49,2401,109,cold
align,2state1ap2acc_parity_0002234113_c×3state1ap0acc_006692,0.043,,,33,1089,83,cold
align,2state1ap2acc_parity_0002234113_c×3state1ap0acc_074854,0.0481,,,46,2116,114,cold
align,2state1ap2acc_parity_0002234113×3state1ap0acc_074308,0.0512,,,36,1296,38,cold
align,2state1ap2acc_parity_0002234960×3state1ap0acc_092744,0.038,,,22,484,61,cold
align,2state1ap2acc_parity_0002667783×3state1ap0acc_004276_c,0.0481,,,41,1681,79,cold
align,2state1ap2acc_parity_0002797312×3state1ap0acc_005668_c,0.1358,,,147,21609,97,cold
align,2state1ap2acc_parity_0002957056×3state1ap0acc_007836,0.0773,,,74,5476,134,cold
align,2state1ap2acc_parity_0004215432×3state1ap0acc_076357,0.0969,,,96,9216,172,cold
align,2state1ap2acc_parity_0004496645×3state1ap0acc_069804,0.0329,,,28,784,91,cold
align,2state1ap2acc_parity_0004527624_c×3state1ap0acc_012636,0.0563,,,52,2704,145,cold
align,2state1ap2acc_parity_0004527624_c×3state1ap0acc_029189,0.0167,,,10,100,16,cold
align,2state1ap2acc_parity_0004552970×3state1ap0acc_005160_c,0.0364,,,29,841,41,cold
align,2state1ap2acc_parity_0004822272_c×2state1ap2acc_parity_0005984512_c,0.0282,,,14,196,44,cold
align,2state1ap2acc_parity_0004822272_c×3state1ap0acc_081540,0.0825,,,78,6084,118,cold
align,2state1ap2acc_parity_0005106434_c×3state1ap0acc_012552_c,0.0235,,,15,225,19,cold
align,2state1ap2acc_parity_0005106434_c×3state1ap0acc_080904,0.2234,,,237,56169,280,cold
align,2state1ap2acc_parity_0005343626_c×3state1ap0acc_020633_c,0.0567,,,54,2916,110,cold
align,2state1ap2acc_parity_0005870344_c×3state1ap0acc_080012,0.0649,,,60,3600,102,cold
align,2state1ap2acc_parity_0005984512_c×3state1ap0acc_025893,0.0812,,,85,7225,409,cold
align,2state1ap2acc_parity_0005984512×3state1ap0acc_079380_c,0.0597,,,61,3721,165,cold
align,2state1ap2acc_parity_0006266880×3state1ap0acc_092744_c,0.0324,,,24,576,65,cold
align,2state1ap2acc_parity_0007767584×3state1ap0acc_013992_c,0.1021,,,110,12100,299,cold
align,2state1ap2acc_parity_0007950596_c×3state1ap0acc_013972_c,0.0735,,,76,5776,252,cold
align,2state1ap2acc_parity_0007950596_c×3state1ap0acc_070662_c,0.0821,,,81,6561,139,cold
align,2state1ap2acc_parity_0007950596×3state1ap0acc_078404,0.0813,,,78,6084,129,cold
align,2state1ap2acc_parity_0008445188×2state1ap2acc_parity_1163278594,0.0313,,,25,625,40,cold
align,2state1ap2acc_parity_0008553232_c×3state1ap0acc_072838,0.1405,,,152,23104,297,cold
align,2state1ap2acc_parity_0008557064×3state1ap0acc_006410_c,0.0805,,,82,6724,106,cold
align,2state1ap2acc_parity_0009035840×3state1ap0acc_020636_c,0.0571,,,54,2916,113,cold
align,2state1ap2acc_parity_0013912576×3state1ap0acc_006276_c,0.0444,,,38,1444,51,cold
align,2state1ap2acc_parity_0013912576×3state1ap0acc_031048_c,0.0347,,,30,900,45,cold
align,2state1ap2acc_parity_0014200578_c×2state1ap2acc_parity_0541081603_c,0.0539,,,41,1681,61,cold
align,2state1ap2acc_parity_0014321418_c×3state1ap0acc_025314_c,0.1124,,,122,14884,395,cold
align,2state1ap2acc_parity_0015614720_c×3state1ap0acc_004394_c,0.0343,,,29,841,32,cold
align,2state1ap2acc_parity_0015614720×2state1ap2acc_parity_0545426951,0.0225,,,16,256,25,cold
align,2state1ap2acc_parity_0015614720×3state1ap0acc_028868_c,0.0326,,,21,441,32,cold
align,2state1ap2acc_parity_0015632386_c×3state1ap0acc_012618_c,0.0369,,,31,961,119,cold
align,2state1ap2acc_parity_0015679492×2state1ap2acc_parity_1082231338,0.0821,,,87,7569,170,cold
align,2state1ap2acc_parity_0017110190_c×3state1ap0acc_079400_c,0.033,,,26,676,101,cold
align,2state1ap2acc_parity_0018089248×3state1ap0acc_005164,0.0587,,,51,2601,72,cold
align,2state1ap2acc_parity_0018098464_c×3state1ap0acc_005252_c,0.0373,,,27,729,42,cold
align,2state1ap2acc_parity_0019047233_c×3state1ap0acc_004490,0.0534,,,51,2601,73,cold
align,2state1ap2acc_parity_0021303682_c×3state1ap0acc_030862,0.1364,,,148,21904,249,cold
align,2state1ap2acc_parity_0021303682×3state1ap0acc_025618_c,0.0682,,,71,5041,146,cold
align,2state1ap2acc_parity_0021303682×3state1ap0acc_026653_c,0.1931,,,208,43264,197,cold
align,2state1ap2acc_parity_0021669632×2state1ap2acc_parity_0075547220,0.0454,,,36,1296,52,cold
align,2state1ap2acc_parity_0021669632×3state1ap0acc_031048_c,0.0307,,,27,729,39,cold
align,2state1ap2acc_parity_0021782912_c×3state1ap0acc_025276,0.056,,,50,2500,93,cold
align,2state1ap2acc_parity_0021864450_c×3state1ap0acc_020738,0.0202,,,14,196,25,cold
align,2state1ap2acc_parity_0022079492×2state1ap2acc_parity_0138479656,0.0326,,,28,784,59,cold
align,2state1ap2acc_parity_0022079492×3state1ap0acc_012618,0.0399,,,27,729,61,cold
align,2state1ap2acc_parity_0022642818×3state1ap0acc_030726,0.0474,,,43,1849,97,cold
align,2state1ap2acc_parity_0022973824_c×3state1ap0acc_005404_c,0.0392,,,29,841,70,cold
align,2state1ap2acc_parity_0022973824×2state1ap2acc_parity_2296595968,0.0432,,,33,1089,52,cold
align,2state1ap2acc_parity_0023610368×3state1ap0acc_027165,0.0515,,,44,1936,116,cold
align,2state1ap2acc_parity_0023610368×3state1ap0acc_078216_c,0.0561,,,50,2500,70,cold
align,2state1ap2acc_parity_0024584610×3state1ap0acc_025680,0.0326,,,28,784,81,cold
align,2state1ap2acc_parity_0024584610×3state1ap0acc_075780,0.0491,,,39,1521,55,cold
