input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
1state3ap1acc_00872_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.094,(a & !b & c) | (!a & ((!b & !c) | (b & c))) | (((!a & !b & c) | (b & !c) | (a & …,32,4,98,3.1,16c181e9f945,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00872_c.hoa
1state3ap1acc_00876.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,G((!c | (a & !b) | (!a & b)) & F((!a & b & c) | (a & !b) | (!b & !c))),15,2,29,1.9,1645f948d189,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00876.hoa
1state3ap1acc_00876_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.094,(c & ((!a & !b) | (a & b))) | ((!c | (a & !b) | (!a & b)) & X(F((!a & !b & c) | …,29,4,67,2.3,22b702035638,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00876_c.hoa
1state3ap1acc_00892.hoa,LTL,sos2ltl+sos2ltl.engine,0.089,G((a | b | !c) & F((a & c) | (!b & !c) | (b & c))),13,2,20,1.5,c3d0f9bd9d99,TRUE,0.041,genaut/corpus/flat_canon/det/1state3ap1acc_00892.hoa
1state3ap1acc_00892_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.098,(!a & !b & c) | ((a | b | !c) & X(F(!a & !b & c) | (G(a | b | !c) & FG((!a | !c)…,21,4,45,2.1,cfc7fded4ff8,TRUE,0.044,genaut/corpus/flat_canon/det/1state3ap1acc_00892_c.hoa
1state3ap1acc_00960.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,G(((!b & c) | (b & !c)) & F(!b & c)),10,2,16,1.6,2d9159bfec6e,TRUE,0.044,genaut/corpus/flat_canon/det/1state3ap1acc_00960.hoa
1state3ap1acc_00960_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.093,(!b & !c) | (b & c) | (((!b & c) | (b & !c)) & X(F((!b & !c) | (b & c)) | (G((!b…,20,4,48,2.4,edfaf55c5746,TRUE,0.043,genaut/corpus/flat_canon/det/1state3ap1acc_00960_c.hoa
1state3ap1acc_00964.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,G(((a & c) | (!b & c) | (b & !c)) & F((a & c) | (!b & c))),13,2,23,1.8,0e98a1b54b2d,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00964.hoa
1state3ap1acc_00964_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,(!a & b & c) | (!b & !c) | (((a & c) | (!b & c) | (b & !c)) & X(F((!a & b & c) |…,25,4,64,2.6,0bef4a50c566,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00964_c.hoa
1state3ap1acc_00972.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,G((b | c) & Fc),6,2,7,1.2,b99d16288b8c,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00972.hoa
1state3ap1acc_00972_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,(!b & !c) | ((b | c) & X(F(!b & !c) | (FG!c & G(b | c)))),15,4,27,1.8,0ea2cd8a47ce,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00972_c.hoa
