pop,neg_phi,k,bits,safety,cosafety,obligation,recurrence,persistence,brute,ms,note
fwd,1state2ap3acc_parity_0178405888,2state2ap2acc_parity_04964710546502961656,6,0,0,0,0,0,ok,4.0,
fwd,1state3ap0acc_060,1state3ap1acc_00828,8,1,1,1,1,1,ok,3.2,
fwd,1state3ap1acc_00390,1state3ap1acc_06436,11,0,0,0,1,0,ok,30.8,
fwd,1state3ap1acc_00398_c,2state3ap1acc_parity_00865795744191920295,35,0,0,0,0,1,skip-bits,6.8,
fwd,1state3ap1acc_00446,1state3ap0acc_127_c,3,0,0,0,1,0,ok,0.9,
fwd,1state3ap1acc_00488_c,2state3ap1acc_parity_17019428005131849826_c,38,0,1,1,1,1,skip-bits,9.0,
fwd,1state3ap1acc_00788,1state3ap1acc_06916_c,6,0,0,0,1,0,ok,3.0,
fwd,1state3ap1acc_00796,2state3ap1acc_parity_08649156823177511470_c,37,0,0,0,1,0,skip-bits,16.5,
fwd,1state3ap1acc_00840,2state3ap1acc_parity_09661361070672199683_c,45,0,0,0,1,0,skip-bits,49.0,
fwd,1state3ap1acc_00876_c,1state3ap1acc_00386_c,1,0,0,0,0,1,ok,1.0,
fwd,1state3ap1acc_01537_c,1state3ap1acc_07777_c,3,0,0,0,0,1,ok,1.1,
fwd,1state3ap1acc_01569_c,1state3ap1acc_06528_c,3,0,0,0,0,1,ok,1.3,
fwd,1state3ap1acc_01785,2state3ap1acc_parity_14104290084247047862_c,6,1,1,1,1,1,ok,1.4,
fwd,1state3ap1acc_04080_c,1state3ap0acc_015_c,1,0,0,0,0,1,ok,0.4,
fwd,1state3ap1acc_05641_c,2state3ap1acc_parity_01190702083017216040_c,78,0,0,0,0,1,skip-bits,50.6,
fwd,1state3ap1acc_05800,1state3ap1acc_07777_c,6,0,0,0,1,0,ok,2.4,
fwd,1state3ap1acc_05992_c,1state3ap1acc_01936,30,0,0,0,0,1,skip-bits,1.5,
fwd,1state3ap1acc_06180_c,1state3ap1acc_02040_c,6,0,0,0,0,1,ok,2.1,
fwd,1state3ap1acc_06530,1state3ap1acc_32257,30,0,0,0,1,0,skip-bits,1.4,
fwd,1state3ap1acc_06564,2state3ap1acc_parity_07669827159049524354_c,63,0,0,0,1,0,skip-bits,20.1,
fwd,1state3ap1acc_06976,1state3ap1acc_01777,9,1,1,1,1,1,ok,6.7,
fwd,1state3ap1acc_07681,1state3ap1acc_01713,15,0,0,0,1,0,skip-bits,1.1,
fwd,1state3ap1acc_07809_c,2state3ap1acc_parity_01644858810352803401,160,0,0,0,0,1,skip-bits,39.4,
fwd,1state3ap1acc_07904,2state3ap1acc_parity_02614646715407461635_c,28,0,0,0,1,0,skip-bits,11.4,
fwd,1state3ap1acc_08032,2state3ap1acc_parity_00865795744191920295,37,0,0,0,1,0,skip-bits,9.0,
fwd,1state3ap1acc_08064_c,1state3ap1acc_05801,15,1,1,1,1,1,skip-bits,1.0,
fwd,1state3ap1acc_32257_c,2state3ap1acc_parity_01766513145226448584,101,0,0,0,0,1,skip-bits,30.8,
fwd,1state3ap2acc_parity_0179243810_c,1state3ap1acc_02725,9,0,1,1,1,1,ok,7.0,
fwd,2state1ap0acc_053,3state1ap0acc_004504_c,14,1,0,1,1,1,skip-bits,14.1,
fwd,2state1ap0acc_053,3state1ap0acc_024800,19,1,0,1,1,1,skip-bits,6.0,
fwd,2state1ap1acc_06532,2state1ap2acc_parity_0717635593,12,0,1,1,1,1,ok,103.1,
fwd,2state1ap1acc_16912,3state1ap0acc_013641_c,15,1,1,1,1,1,skip-bits,6.0,
fwd,2state1ap1acc_18050_c,2state1ap1acc_05250_c,5,0,0,0,0,1,ok,2.7,
fwd,2state1ap1acc_50306,3state1ap0acc_025708,12,0,0,0,1,0,ok,212.7,
fwd,2state1ap2acc_parity_0002114561,3state1ap0acc_074056,17,1,0,1,1,1,skip-bits,2.7,
fwd,2state1ap2acc_parity_0004538925_c,2state1ap1acc_05196_c,8,0,0,0,1,0,ok,23.5,
fwd,2state1ap2acc_parity_0004822272,2state1ap1acc_01176,22,0,0,0,0,1,skip-bits,4.1,
fwd,2state1ap2acc_parity_0005036034_c,3state1ap0acc_075942_c,27,0,0,0,0,0,skip-bits,43.8,
fwd,2state1ap2acc_parity_0006272130,3state1ap0acc_004756,18,0,0,0,0,0,skip-bits,3.4,
fwd,2state1ap2acc_parity_0008557064,3state1ap0acc_025109_c,6,0,0,0,0,0,ok,10.3,
fwd,2state1ap2acc_parity_0015632386_c,2state1ap2acc_parity_0005327658,48,0,0,0,1,0,skip-bits,28.2,
fwd,2state1ap2acc_parity_0039407872,3state1ap0acc_024916_c,7,0,0,0,0,1,ok,17.3,
fwd,2state1ap2acc_parity_0047726660_c,3state1ap0acc_006328_c,20,0,0,0,0,0,skip-bits,66.9,
fwd,2state1ap2acc_parity_0067828500_c,3state1ap0acc_073865,7,0,0,0,1,0,ok,3.5,
fwd,2state1ap2acc_parity_0094315016,3state1ap1acc_10821896874_c,25,0,0,0,0,1,skip-bits,5.3,
fwd,2state1ap2acc_parity_0138758442,4state1ap2acc_parity_000632489122214258973456250121784938822,17,0,0,0,0,1,skip-bits,23.3,
fwd,2state1ap2acc_parity_0285476138_c,3state1ap1acc_01343514762_c,8,0,0,0,1,0,ok,22.5,
fwd,2state1ap2acc_parity_0352460833_c,3state1ap0acc_070788_c,7,0,0,0,1,0,ok,17.5,
fwd,2state1ap2acc_parity_0541081603,3state1ap0acc_073800_c,2,0,0,0,0,0,ok,2.7,
fwd,2state1ap2acc_parity_0574882177,3state1ap0acc_073868_c,8,0,0,0,0,1,ok,7.5,
fwd,2state1ap2acc_parity_0682573952_c,3state1ap0acc_006188,34,0,0,0,1,0,skip-bits,16.3,
fwd,2state1ap2acc_parity_1083056266,3state1ap0acc_071702,74,0,0,0,0,0,skip-bits,224.8,
fwd,2state1ap2acc_parity_1164845312,3state1ap0acc_004628_c,2,0,0,0,0,0,ok,1.3,
fwd,2state1ap2acc_parity_1297172901,3state1ap0acc_005800,26,0,0,0,0,1,skip-bits,31.6,
fwd,2state1ap2acc_parity_2290440257,3state1ap0acc_079444,19,0,0,0,1,0,skip-bits,29.1,
fwd,2state1ap2acc_parity_2290440257_c,3state1ap0acc_073865,10,0,0,0,0,1,ok,26.2,
fwd,2state1ap2acc_parity_2292326218,2state1ap2acc_parity_0715295236,16,1,1,1,1,1,skip-bits,2.2,
fwd,2state1ap2acc_parity_2292326218,3state1ap0acc_005286_c,23,0,0,0,1,0,skip-bits,52.4,
fwd,2state1ap2acc_parity_2726576129_c,3state1ap1acc_06712019249,48,0,0,0,0,0,skip-bits,27.5,
fwd,2state2ap1acc_parity_0030441824_c,3state2ap2acc_parity_14187696287525319699726623503636843130614373,47,0,0,0,0,0,skip-bits,190.8,
fwd,2state2ap1acc_parity_1642596627,3state2ap2acc_parity_07640798032698989284855753784519901965426725,20,0,0,0,0,0,skip-bits,226.7,
fwd,2state2ap1acc_parity_3024546618_c,2state2ap1acc_parity_3289547584,17,0,0,0,0,1,skip-bits,3.0,
fwd,2state2ap2acc_parity_00111729103757431907,3state2ap2acc_parity_14640345009540178756934700191540411232346135_c,194,0,0,0,0,0,skip-bits,62.7,
fwd,2state2ap2acc_parity_00289891630156527747_c,2state2ap1acc_parity_0139740170_c,14,0,0,0,0,0,skip-bits,5.8,
fwd,2state2ap2acc_parity_00495951104014606457,3state2ap2acc_parity_05646301230268628350670752252735482621755525,80,0,0,0,0,0,skip-bits,1230.7,
fwd,2state2ap2acc_parity_01025293266847957421,2state2ap2acc_parity_02613231945794024176,95,0,0,0,0,1,skip-bits,99.6,
fwd,2state2ap2acc_parity_01300381873082871896_c,2state2ap2acc_parity_00732443274184804514_c,76,1,1,1,1,1,skip-bits,15.3,
fwd,2state2ap2acc_parity_01838757176823623953,3state2ap2acc_parity_01547795618021375473617303844850997545774316_c,12,0,0,0,0,1,ok,137.1,
fwd,2state2ap2acc_parity_02406207182630619308_c,2state2ap2acc_parity_11589610070952749602_c,55,0,0,0,0,0,skip-bits,46.9,
fwd,2state2ap2acc_parity_02479144338996496752_c,2state2ap2acc_parity_00289891630156527747_c,36,0,0,0,1,0,skip-bits,5.4,
fwd,2state2ap2acc_parity_02590837127116143237_c,1state2ap0acc_06,26,1,1,1,1,1,skip-bits,1.9,
fwd,2state2ap2acc_parity_03377207403598746866_c,3state2ap2acc_parity_11216132919718599426484354168135068180600985,45,0,0,0,0,0,skip-bits,676.9,
fwd,2state2ap2acc_parity_03465359446847513186_c,2state2ap2acc_parity_04630318344642327802,78,0,0,0,1,0,skip-bits,46.5,
fwd,2state2ap2acc_parity_03598501441036968601,2state2ap2acc_parity_02338443166392502418,77,0,0,0,0,0,skip-bits,1576.5,
fwd,2state2ap2acc_parity_03644846996254608138_c,2state2ap2acc_parity_09615319376540246571,10,0,0,0,0,1,ok,24.6,
fwd,2state2ap2acc_parity_03926171514245816491_c,2state2ap2acc_parity_12125081597581071066_c,41,0,0,0,0,0,skip-bits,37.7,
fwd,2state2ap2acc_parity_03965744933853960312_c,3state2ap2acc_parity_18140904740152146744090750607020588661123804,27,0,0,0,0,0,skip-bits,2024.9,
fwd,2state2ap2acc_parity_04727523500524286007,2state2ap2acc_parity_02412135448199726114_c,77,0,0,0,0,1,skip-bits,23.8,
fwd,2state2ap2acc_parity_05031259995512837208_c,2state2ap2acc_parity_11209796727779668548,191,0,0,0,0,0,skip-bits,293.5,
