pop,neg_phi,k,aps,n_phi,n_k,prod_n,linked,bits,settles,refutes,ms,note
fwd,3state1ap2acc_parity_1310551305816495741957_c,3state1ap0acc_091238,1,79,45,277,3490,79,0,0,2493.5,
fwd,3state1ap0acc_007434,3state1ap0acc_026641,1,12,15,33,191,21,0,0,21.9,
fwd,2state1ap1acc_18050_c,2state1ap1acc_05250_c,1,9,7,13,38,5,0,0,3.0,
fwd,3state1ap2acc_parity_2568710745067348706059_c,3state1ap1acc_37118511116,1,31,6,51,191,4,0,0,32.2,
fwd,3state1ap0acc_007436,3state1ap0acc_029734_c,1,62,72,492,6895,121,0,0,11856.3,
fwd,3state1ap0acc_004772,3state1ap0acc_086156_c,1,15,17,46,121,18,0,0,9.8,
fwd,3state1ap0acc_031384_c,3state1ap0acc_030225,1,24,58,183,2328,84,0,0,1524.7,
fwd,3state1ap0acc_024857_c,3state1ap0acc_080068_c,1,11,27,47,170,20,0,0,35.5,
fwd,2state1ap2acc_parity_0004822272,2state1ap1acc_01176,1,14,10,24,78,22,0,0,6.5,
fwd,3state1ap0acc_074829_c,2state1ap2acc_parity_0574882177,1,29,4,31,109,10,0,0,18.3,
fwd,3state1ap0acc_007468,3state1ap0acc_030856,1,45,18,59,382,32,0,0,82.8,
fwd,3state1ap1acc_07986021488,3state1ap1acc_17251696968_c,1,17,69,100,296,3,0,0,36.1,
fwd,3state1ap0acc_106728,3state1ap0acc_004422_c,1,47,16,83,550,7,0,0,144.6,
fwd,3state1ap0acc_069804_c,3state1ap1acc_46475546712_c,1,12,11,46,203,57,0,1,31.0,
fwd,3state1ap0acc_026772_c,2state1ap2acc_parity_0001191050_c,1,20,19,51,157,25,0,0,27.0,
fwd,2state1ap2acc_parity_0005036034_c,3state1ap0acc_075942_c,1,13,32,78,367,27,0,0,93.4,
fwd,3state1ap0acc_072334_c,2state1ap2acc_parity_0004295586_c,1,11,14,22,88,4,0,0,10.0,
fwd,3state1ap1acc_parity_10805384360,2state1ap2acc_parity_0708854026_c,1,12,9,20,29,7,0,0,3.5,
fwd,3state1ap0acc_025253_c,3state1ap0acc_091236,1,11,67,148,1791,49,0,0,918.4,
fwd,2state1ap1acc_16912,3state1ap0acc_013641_c,1,7,22,26,101,15,1,0,6.5,
fwd,3state1ap0acc_077380_c,3state1ap1acc_20552143008_c,1,41,15,75,270,32,0,0,60.8,
fwd,2state1ap1acc_50306,3state1ap0acc_025708,1,8,13,24,86,12,0,0,9.7,
fwd,3state1ap0acc_096265_c,3state1ap0acc_074264,1,19,10,36,126,39,0,0,25.1,
fwd,3state1ap0acc_071880_c,3state1ap0acc_081032_c,1,22,66,178,1250,34,0,0,803.2,
fwd,3state1ap0acc_074412_c,3state1ap1acc_35769115713,1,58,48,137,908,30,0,0,497.1,
fwd,3state1ap0acc_025093_c,3state1ap0acc_004645_c,1,10,16,26,32,5,0,0,5.7,
fwd,3state1ap0acc_072710_c,3state1ap0acc_074309,1,77,31,268,2533,119,0,0,1969.6,
fwd,3state1ap0acc_024654,3state1ap0acc_022632_c,1,8,20,33,120,3,0,0,12.3,
fwd,3state1ap0acc_030240_c,3state1ap1acc_parity_08657112224_c,1,14,15,31,90,14,0,0,12.5,
fwd,3state1ap0acc_030112,3state1ap0acc_004424,1,34,9,63,264,31,0,0,47.3,
fwd,3state1ap0acc_076074,3state1ap0acc_071822,1,32,21,84,722,43,0,0,198.7,
fwd,3state1ap0acc_030733,3state1ap0acc_030726,1,7,21,27,85,11,0,0,11.2,
fwd,3state1ap0acc_071702_c,3state1ap0acc_004452,1,51,20,78,372,49,1,0,112.7,
fwd,3state1ap0acc_025320_c,3state1ap0acc_030213,1,45,51,222,3110,75,0,0,2403.7,
fwd,3state1ap0acc_004612,3state1ap0acc_013641,1,6,22,24,76,7,0,0,4.8,
fwd,3state1ap0acc_006153,3state1ap0acc_026833_c,1,12,33,78,378,22,0,0,59.2,
fwd,3state1ap0acc_025296_c,3state1ap0acc_030862_c,1,50,32,250,3066,73,0,0,2621.0,
fwd,3state1ap2acc_parity_0226603284168771633733,3state1ap0acc_025625,1,38,19,107,587,45,0,0,137.2,
fwd,3state1ap0acc_024673,3state1ap0acc_029769_c,1,22,25,116,786,25,0,0,194.4,
fwd,2state1ap2acc_parity_1083056266,3state1ap0acc_071702,1,15,51,117,1045,74,0,0,324.9,
fwd,2state1ap0acc_053,3state1ap0acc_024800,1,9,19,39,92,19,0,0,11.5,
fwd,3state1ap1acc_43021293649,3state1ap1acc_00501801994,1,8,24,34,87,5,0,0,13.6,
fwd,3state1ap0acc_079444,3state1ap0acc_080398,1,47,20,131,1701,36,0,0,841.4,
fwd,3state1ap0acc_025136,3state1ap0acc_005286,1,14,50,99,375,50,0,0,95.5,
fwd,2state1ap2acc_parity_1297172901,3state1ap0acc_005800,1,13,31,78,366,26,0,0,73.8,
fwd,3state1ap0acc_079896_c,3state1ap0acc_013641,1,50,22,128,746,54,0,0,296.2,
fwd,2state1ap2acc_parity_2290440257_c,3state1ap0acc_073865,1,10,13,24,31,10,0,0,3.4,
fwd,3state1ap0acc_005800_c,2state1ap2acc_parity_0572212224,1,31,9,79,350,23,0,0,98.1,
fwd,3state1ap0acc_013384_c,3state1ap1acc_19337320362_c,1,21,9,43,85,7,0,1,12.4,
fwd,2state1ap2acc_parity_0015632386_c,2state1ap2acc_parity_0005327658,1,27,9,60,234,48,0,0,61.0,
fwd,2state1ap2acc_parity_0067828500_c,3state1ap0acc_073865,1,9,13,13,25,7,0,0,2.0,
fwd,3state1ap0acc_077976,3state1ap1acc_parity_37586212922_c,1,27,6,29,107,18,0,0,9.5,
fwd,3state1ap0acc_078341_c,3state1ap1acc_19879280012,1,12,7,17,11,2,0,0,1.9,
fwd,3state1ap0acc_025137,3state1ap1acc_parity_52747897074,1,7,13,28,46,5,0,0,7.0,
fwd,3state1ap0acc_004392,3state1ap1acc_20401758904_c,1,10,28,35,123,12,0,0,11.6,
fwd,3state1ap0acc_080036,3state1ap0acc_106568,1,11,13,28,58,21,0,1,11.9,
fwd,3state1ap0acc_004756_c,2state1ap1acc_16899,1,13,3,14,35,1,0,0,2.5,
fwd,3state1ap0acc_025244,3state1ap2acc_parity_1282809694496512603916,1,20,80,190,2042,49,0,0,870.1,
fwd,4state1ap2acc_parity_189888352042736996057462590870753750530,3state1ap0acc_004632,1,20,7,30,62,14,0,0,8.3,
fwd,2state1ap2acc_parity_2292326218,2state1ap2acc_parity_0715295236,1,5,13,15,51,16,1,0,4.0,
fwd,3state1ap0acc_020652_c,3state1ap0acc_078924,1,38,20,97,924,21,0,0,327.2,
fwd,3state1ap0acc_005652,3state1ap0acc_004280_c,1,42,17,161,1013,8,0,0,297.0,
fwd,3state1ap1acc_parity_34966176896,3state1ap0acc_106660,1,8,45,114,187,9,0,0,292.5,
fwd,2state1ap2acc_parity_2290440257,3state1ap0acc_079444,1,10,47,58,208,19,0,0,66.7,
fwd,3state1ap0acc_007190_c,2state1ap2acc_parity_0571753498,1,71,16,135,899,45,0,0,393.9,
fwd,2state1ap2acc_parity_2726576129_c,3state1ap1acc_06712019249,1,13,26,53,301,48,0,0,62.1,
fwd,3state1ap1acc_08763069152_c,3state1ap0acc_026808,1,25,31,50,216,14,0,0,54.2,
fwd,3state1ap0acc_074436_c,3state1ap0acc_004788_c,1,11,12,46,350,23,0,0,69.1,
fwd,3state1ap0acc_013385,2state1ap2acc_parity_0004891914_c,1,27,13,45,114,8,0,0,13.2,
fwd,3state1ap0acc_026644_c,3state1ap0acc_090212_c,1,32,59,263,1804,78,0,0,1241.3,
fwd,3state1ap0acc_024946,3state1ap0acc_091682,1,46,32,119,924,23,0,0,251.3,
fwd,3state1ap0acc_026642_c,3state1ap0acc_077961,1,15,15,74,192,30,0,0,41.2,
fwd,2state2ap2acc_parity_03926171514245816491_c,2state2ap2acc_parity_12125081597581071066_c,2,12,32,76,274,41,0,0,53.5,
fwd,3state2ap2acc_parity_19292204062434739838585513977313286700953855_c,3state2ap2acc_parity_07131409991411177307553436271602182331950408,2,17,10,29,60,17,0,0,5.7,
fwd,2state2ap2acc_parity_08509043498043523396_c,4state2ap1acc_parity_216913534712549064574886800825391398934_c,2,16,7,35,53,26,0,1,10.0,
fwd,1state2ap3acc_parity_0178405888,2state2ap2acc_parity_04964710546502961656,2,5,11,14,39,6,0,0,2.1,
fwd,2state2ap2acc_parity_00111729103757431907,3state2ap2acc_parity_14640345009540178756934700191540411232346135_c,2,17,22,88,711,194,0,0,95.5,
fwd,3state2ap2acc_parity_14122322237705402063424891878630450175732896_c,3state2ap2acc_parity_00442143975446621002174926794741649083380452,2,39,19,134,745,54,0,0,183.9,
fwd,3state2ap2acc_parity_05744229146499564561388240723307926009780705,2state2ap2acc_parity_08197976992496502017,2,53,11,147,1278,116,0,0,711.7,
fwd,2state2ap2acc_parity_00495951104014606457,3state2ap2acc_parity_05646301230268628350670752252735482621755525,2,26,61,246,2184,80,0,0,2404.6,
fwd,3state2ap2acc_parity_13314475190816682929472322021533208167327997,2state2ap2acc_parity_10415250806679194641,2,61,15,291,3950,42,0,0,4981.3,
fwd,2state2ap2acc_parity_02406207182630619308_c,2state2ap2acc_parity_11589610070952749602_c,2,25,16,73,445,55,0,0,66.2,
fwd,2state2ap2acc_parity_05983266170514214042,3state2ap2acc_parity_12403977564925508453551236462067085934910282_c,2,17,4,21,66,28,0,1,6.8,
fwd,2state2ap2acc_parity_03465359446847513186_c,2state2ap2acc_parity_04630318344642327802,2,16,21,70,406,78,0,0,74.1,
fwd,2state2ap1acc_parity_1642596627,3state2ap2acc_parity_07640798032698989284855753784519901965426725,2,12,37,105,1003,20,0,0,460.6,
fwd,2state2ap2acc_parity_06706656653999847593_c,2state2ap2acc_parity_05770070685202830714,2,15,17,112,757,66,0,0,139.6,
fwd,2state2ap2acc_parity_12726042477177204477,1state2ap1acc_105,2,11,3,13,46,15,0,0,3.3,
fwd,3state2ap2acc_parity_15377585186585244386570480866490820334912621_c,4state2ap1acc_parity_216358315450290392374483810345841206404_c,2,64,6,85,310,76,1,0,124.9,
fwd,3state2ap2acc_parity_00002382211212622917890616193867070465190424_c,2state2ap2acc_parity_01838757176823623953,2,95,5,126,664,81,0,0,211.4,
fwd,2state2ap2acc_parity_08130995486210534005,2state2ap2acc_parity_02324350295120187772_c,2,21,21,150,1495,211,0,0,713.1,
fwd,2state2ap2acc_parity_11862219100637939786_c,3state2ap1acc_parity_1967668635396872344074_c,2,20,7,39,330,93,0,0,38.3,
fwd,2state2ap2acc_parity_00289891630156527747_c,2state2ap1acc_parity_0139740170_c,2,11,8,37,81,14,0,0,4.6,
fwd,2state2ap2acc_parity_03965744933853960312_c,3state2ap2acc_parity_18140904740152146744090750607020588661123804,2,18,89,285,3499,27,0,0,1761.6,
fwd,3state2ap2acc_parity_10242932816699746367374054096177816109435269,2state2ap2acc_parity_11193452886051569917,2,36,15,107,842,33,0,0,334.0,
fwd,2state2ap2acc_parity_05207513304957954670,3state2ap2acc_parity_02225287432583565045627619612700794790776537_c,2,9,15,36,163,52,0,0,21.4,
fwd,3state2ap2acc_parity_07715988424303351654421832419712511907809387,2state2ap1acc_parity_0293990436,2,50,24,268,1809,129,0,0,2491.4,
fwd,2state2ap2acc_parity_01025293266847957421,2state2ap2acc_parity_02613231945794024176,2,17,18,100,712,95,0,0,202.6,
fwd,2state2ap2acc_parity_01838757176823623953,3state2ap2acc_parity_01547795618021375473617303844850997545774316_c,2,5,16,20,45,12,0,0,4.6,
fwd,1state2ap2acc_parity_00266_c,2state2ap2acc_parity_14459783819944657321_c,2,4,12,20,45,11,0,1,4.7,
fwd,2state2ap2acc_parity_11316808124643219609,3state2ap1acc_parity_3585895366144295765516_c,2,22,6,31,81,33,1,0,10.5,
fwd,2state2ap2acc_parity_02590837127116143237_c,1state2ap0acc_06,2,12,3,14,41,26,1,0,3.2,
fwd,1state2ap2acc_00386,3state2ap2acc_parity_19292204062434739838585513977313286700953855_c,2,5,17,21,83,43,1,0,6.7,
fwd,3state2ap2acc_parity_08920014192153606574079903209430866941080569_c,2state2ap2acc_parity_12005792140375715561_c,2,61,11,103,378,50,0,0,79.1,
fwd,2state2ap2acc_parity_05031259995512837208_c,2state2ap2acc_parity_11209796727779668548,2,29,16,154,1241,191,0,0,478.6,
fwd,2state2ap2acc_parity_03598501441036968601,2state2ap2acc_parity_02338443166392502418,2,32,45,289,2828,77,0,0,3291.1,
fwd,1state2ap2acc_parity_06150_c,2state2ap2acc_parity_12856971236255351261,2,4,10,10,27,9,0,1,2.9,
fwd,2state2ap2acc_parity_12005792140375715561_c,1state2ap2acc_00416,2,11,5,20,70,35,0,0,6.1,
fwd,3state2ap2acc_parity_13322400562467511889208063629341661021480178,4state2ap1acc_parity_016989447636600366334037124246744914241_c,2,103,8,118,701,143,0,0,327.4,
fwd,1state2ap1acc_018_c,2state2ap1acc_parity_2455687333_c,2,4,4,5,7,6,0,1,1.6,
fwd,2state2ap2acc_parity_06360534675873411890_c,2state2ap1acc_parity_4042692746,2,20,5,23,74,12,0,0,6.2,
fwd,1state2ap2acc_parity_00772,3state2ap2acc_parity_06159861430659382172806574419318109950313840,2,4,56,73,374,27,0,0,17.4,
fwd,2state2ap2acc_parity_02479144338996496752_c,2state2ap2acc_parity_00289891630156527747_c,2,11,11,33,82,36,0,0,9.2,
fwd,3state2ap2acc_parity_00360908970317846202065523035211166491340988_c,4state2ap1acc_parity_032592156420644438548207861214493032704_c,2,11,8,21,62,22,0,1,6.2,
fwd,2state2ap2acc_parity_03377207403598746866_c,3state2ap2acc_parity_11216132919718599426484354168135068180600985,2,15,58,187,1952,45,0,0,443.5,
fwd,2state2ap2acc_parity_11740941019044962404,3state2ap1acc_parity_3585895366144295765516,2,23,6,28,109,1,0,0,13.9,
fwd,2state2ap2acc_parity_12000547282478703909_c,2state2ap2acc_parity_02406207182630619308,2,11,25,32,116,23,0,0,6.6,
fwd,3state2ap2acc_parity_14841615962601542641582320641199714513748170,2state2ap2acc_parity_02784935455026984028,2,130,17,231,1574,87,0,0,1382.9,
fwd,3state2ap2acc_parity_10347144930624275892248421612650292723877017_c,2state2ap2acc_parity_02455151384263699489,2,127,26,452,5331,126,0,0,3060.1,
fwd,2state2ap2acc_parity_07285067545879021657_c,2state2ap2acc_parity_04906201296742293504,2,19,37,155,1773,189,0,0,504.5,
fwd,3state2ap2acc_parity_19699037403887099928121848904437987237110396,4state2ap1acc_parity_182011070065798834957904108023680624228,2,208,5,317,3284,42,0,0,8108.4,
