# date: 2026-07-11
# git-rev: c8f4d3004
# seed: 20260711
# corpus: genaut/corpus/flat_canon/sos
case,n_aps,n_classes,inert_set,sym_generator_hits,anti_generator_hits,anti_possible,sym_full_count,anti_full_count,status,wall_ms
1state3ap1acc_00964,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00964_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00972,2,4,,,,0,1,0,ok,1.7
1state3ap1acc_00972_c,2,4,,,,0,1,0,ok,1.7
1state3ap1acc_00980,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00980_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00984,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00984_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00988,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00988_c,3,4,,,,0,1,0,ok,9.4
1state3ap1acc_01020,2,3,,,,0,2,0,ok,1.4
1state3ap1acc_01020_c,2,3,,,,0,2,0,ok,1.4
1state3ap1acc_01537,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01537_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01545,3,4,,t01,,0,4,0,ok,9.1
1state3ap1acc_01545_c,3,4,,t01,,0,4,0,ok,9.5
1state3ap1acc_01552,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01552_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01553,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01553_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01560,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01560_c,3,4,,,,0,2,0,ok,9.4
1state3ap1acc_01561,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01561_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_01568,3,4,,t02,,0,2,0,ok,9.1
1state3ap1acc_01568_c,3,4,,t02,,0,2,0,ok,9.5
1state3ap1acc_01569,3,4,,,,0,1,0,ok,9.1
