input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
XXb,LTL,daisy,0.073,XXb,3,0,3,1.0,d6770d903fd8,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:3
XFb,LTL,daisy,0.072,XFb,3,1,3,1.0,98dd93fe66de,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:4
b,LTL,daisy,0.073,b,1,0,1,1.0,98f9c15e60dd,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:5
1,LTL,daisy,0.065,1,1,0,1,1.0,e20f564d992f,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:6
a,LTL,daisy,0.068,a,1,0,1,1.0,883cb92c9ed3,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:7
GX(0),LTL,daisy,0.073,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:8
!b,LTL,daisy,0.075,!b,2,0,2,1.0,599148956b50,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:9
a W 0,LTL,daisy,0.126,Ga,2,1,2,1.0,79182d6e45ae,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:10
randltl-10-a-hoa-1.txt,LTL,daisy,0.069,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-1.txt
randltl-10-a-hoa-10.txt,LTL,daisy,0.071,a | !b,4,0,4,1.0,f1a6bbfad7c8,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-10.txt
randltl-10-a-hoa-2.txt,LTL,daisy+strength2,0.072,c R d,3,1,3,1.0,143bf9c9bb55,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-2.txt
randltl-10-a-hoa-3.txt,LTL,daisy,0.073,Fb,2,1,2,1.0,80617ee78d88,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-3.txt
randltl-10-a-hoa-4.txt,LTL,daisy,0.075,X!b,3,0,3,1.0,c1bafbe87d2d,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-4.txt
randltl-10-a-hoa-5.txt,LTL,daisy,0.074,b,1,0,1,1.0,98f9c15e60dd,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-5.txt
randltl-10-a-hoa-6.txt,LTL,daisy,0.070,1,1,0,1,1.0,e20f564d992f,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-6.txt
randltl-10-a-hoa-7.txt,LTL,daisy,0.074,G!c,3,1,3,1.0,2f80e18a75e3,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-7.txt
randltl-10-a-hoa-8.txt,LTL,daisy,0.073,FGc,3,2,3,1.0,45de97920b4a,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-8.txt
randltl-10-a-hoa-9.txt,LTL,daisy,0.071,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-9.txt
0,LTL,daisy,0.073,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:1
c R d,LTL,daisy+strength2,0.075,c R d,3,1,3,1.0,143bf9c9bb55,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:2
1 U b,LTL,daisy,0.070,Fb,2,1,2,1.0,80617ee78d88,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:3
!Xb,LTL,daisy,0.072,X!b,3,0,3,1.0,c1bafbe87d2d,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:4
b,LTL,daisy,0.073,b,1,0,1,1.0,98f9c15e60dd,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:5
1,LTL,daisy,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:6
!Fc,LTL,daisy,0.072,G!c,3,1,3,1.0,2f80e18a75e3,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:7
FGc,LTL,daisy,0.069,FGc,3,2,3,1.0,45de97920b4a,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:8
