case,kind,size,MQ,EQ
2state1ap2acc_parity_2697937154,recurrent,12,119,6
2state1ap2acc_parity_2697937154_c,recurrent,16,199,10
2state1ap2acc_parity_2701488726,recurrent,5,24,2
2state1ap2acc_parity_0089313800_c,periodic,14,108,6
2state1ap2acc_parity_0089473569,periodic,13,87,5
2state1ap2acc_parity_0089473569_c,periodic,10,54,4
2state1ap2acc_parity_0089800448,periodic,21,202,9
2state1ap2acc_parity_2726576129,recurrent,12,111,6
2state1ap2acc_parity_2726576129_c,recurrent,16,194,9
2state1ap2acc_parity_2727298372,recurrent,10,86,5
2state1ap2acc_parity_2727298372_c,recurrent,14,134,7
2state1ap2acc_parity_2751987743,recurrent,7,42,3
2state1ap2acc_parity_2751987743_c,recurrent,7,40,3
2state1ap2acc_parity_2819236378,recurrent,9,67,4
2state1ap2acc_parity_2819236378_c,recurrent,9,65,4
2state1ap2acc_parity_2823242831,recurrent,18,165,6
2state1ap2acc_parity_2823242831_c,recurrent,19,247,9
2state1ap2acc_parity_2856797194,recurrent,12,117,6
2state1ap2acc_parity_2856797194_c,recurrent,16,163,8
3state1ap0acc_004228,recurrent,10,105,6
3state1ap0acc_004229,recurrent,9,96,5
3state1ap0acc_004229_c,recurrent,9,84,4
3state1ap0acc_004230,recurrent,9,59,3
3state1ap0acc_004230_c,recurrent,9,75,4
3state1ap0acc_004233,recurrent,10,72,4
3state1ap0acc_004233_c,recurrent,9,60,3
3state1ap0acc_004236,recurrent,10,104,6
3state1ap0acc_004236_c,recurrent,9,115,6
3state1ap0acc_004237,recurrent,13,126,6
3state1ap0acc_004237_c,recurrent,11,98,4
3state1ap0acc_004244,recurrent,10,120,7
3state1ap0acc_004244_c,recurrent,9,84,4
3state1ap0acc_004248,recurrent,12,86,5
3state1ap0acc_004248_c,recurrent,9,60,3
3state1ap0acc_004252,recurrent,13,194,9
3state1ap0acc_004252_c,recurrent,11,98,4
3state1ap0acc_004260,recurrent,13,115,7
3state1ap0acc_004260_c,recurrent,9,218,12
3state1ap0acc_004261,recurrent,11,100,5
3state1ap0acc_004261_c,recurrent,9,125,7
3state1ap0acc_004262,recurrent,13,112,5
3state1ap0acc_004262_c,recurrent,11,131,6
3state1ap0acc_004264,recurrent,10,133,8
3state1ap0acc_004264_c,recurrent,9,98,5
3state1ap0acc_004268,recurrent,13,127,6
3state1ap0acc_004268_c,recurrent,11,129,6
3state1ap0acc_004276,recurrent,10,97,5
2state1ap2acc_parity_0089800448_c,periodic,14,108,6
2state1ap2acc_parity_0092292688,periodic,11,92,6
2state1ap2acc_parity_0092292688_c,periodic,15,162,8
2state1ap2acc_parity_0092868865,periodic,11,97,6
3state1ap0acc_004276_c,recurrent,9,125,7
3state1ap0acc_004280,recurrent,11,181,9
3state1ap0acc_004280_c,recurrent,9,98,5
3state1ap0acc_004358,recurrent,10,104,5
3state1ap0acc_004360,recurrent,9,95,5
3state1ap0acc_004361,recurrent,10,110,6
3state1ap0acc_004361_c,recurrent,9,98,5
3state1ap0acc_004362,recurrent,12,109,5
3state1ap0acc_004362_c,recurrent,11,161,8
3state1ap0acc_004364,recurrent,9,125,7
3state1ap0acc_004376,recurrent,11,139,8
3state1ap0acc_004388,recurrent,11,135,7
3state1ap0acc_004390,recurrent,12,115,5
3state1ap0acc_004390_c,recurrent,11,95,4
3state1ap0acc_004392,recurrent,15,132,6
3state1ap0acc_004392_c,recurrent,13,146,7
3state1ap0acc_004394,recurrent,14,178,8
3state1ap0acc_004394_c,recurrent,13,140,6
3state1ap0acc_004422,recurrent,12,155,7
3state1ap0acc_004422_c,recurrent,11,125,5
3state1ap0acc_004424,recurrent,11,136,7
3state1ap0acc_004424_c,recurrent,11,123,6
3state1ap0acc_004426,recurrent,9,72,4
3state1ap0acc_004428,recurrent,11,149,7
3state1ap0acc_004428_c,recurrent,11,125,5
3state1ap0acc_004430,recurrent,11,152,7
3state1ap0acc_004430_c,recurrent,11,130,6
3state1ap0acc_004440,recurrent,13,163,8
3state1ap0acc_004440_c,recurrent,11,125,5
3state1ap0acc_004452,recurrent,13,167,8
3state1ap0acc_004452_c,recurrent,11,125,5
3state1ap0acc_004488,recurrent,11,86,5
3state1ap0acc_004488_c,recurrent,9,114,6
3state1ap0acc_004490,recurrent,12,196,8
3state1ap0acc_004490_c,recurrent,11,343,15
3state1ap0acc_004504,recurrent,13,126,7
3state1ap0acc_004504_c,recurrent,9,61,3
3state1ap0acc_004506,recurrent,14,286,12
3state1ap0acc_004506_c,recurrent,11,219,8
3state1ap0acc_004520,recurrent,18,302,13
2state1ap2acc_parity_0094315016,periodic,19,144,7
2state1ap2acc_parity_0094315016_c,periodic,17,120,6
2state1ap2acc_parity_0095627264,periodic,19,144,7
2state1ap2acc_parity_0095627264_c,periodic,17,120,6
3state1ap0acc_004520_c,recurrent,15,183,7
3state1ap0acc_004522,recurrent,14,361,15
3state1ap0acc_004522_c,recurrent,13,706,19
3state1ap0acc_004536,recurrent,22,354,18
3state1ap0acc_004536_c,recurrent,13,174,6
3state1ap0acc_004552,recurrent,13,150,8
3state1ap0acc_004552_c,recurrent,11,97,4
3state1ap0acc_004568,recurrent,15,195,10
3state1ap0acc_004568_c,recurrent,11,167,7
3state1ap0acc_004612,recurrent,9,96,5
3state1ap0acc_004613,recurrent,12,97,4
3state1ap0acc_004613_c,recurrent,11,95,4
3state1ap0acc_004614,recurrent,10,72,4
3state1ap0acc_004620,recurrent,9,70,4
3state1ap0acc_004628,recurrent,13,121,6
3state1ap0acc_004628_c,recurrent,11,95,4
3state1ap0acc_004630,recurrent,13,150,7
3state1ap0acc_004630_c,recurrent,11,109,5
3state1ap0acc_004632,recurrent,11,74,4
3state1ap0acc_004632_c,recurrent,9,60,3
3state1ap0acc_004644,recurrent,11,135,8
3state1ap0acc_004644_c,recurrent,9,177,10
3state1ap0acc_004645,recurrent,16,122,5
3state1ap0acc_004645_c,recurrent,13,106,4
3state1ap0acc_004646,recurrent,12,130,6
3state1ap0acc_004646_c,recurrent,11,136,6
3state1ap0acc_004648,recurrent,13,164,8
3state1ap0acc_004648_c,recurrent,11,137,6
3state1ap0acc_004649,recurrent,12,132,6
3state1ap0acc_004649_c,recurrent,11,126,6
3state1ap0acc_004652,recurrent,13,145,7
3state1ap0acc_004652_c,recurrent,11,110,5
3state1ap0acc_004660,recurrent,13,121,6
3state1ap0acc_004660_c,recurrent,11,95,4
3state1ap0acc_004662,recurrent,16,170,7
3state1ap0acc_004662_c,recurrent,13,154,6
3state1ap0acc_004664,recurrent,15,141,7
3state1ap0acc_004664_c,recurrent,11,95,4
3state1ap0acc_004668,recurrent,13,122,6
3state1ap0acc_004668_c,recurrent,11,109,5
2state1ap2acc_parity_0098403592,periodic,12,108,6
2state1ap2acc_parity_0098403592_c,periodic,16,151,8
2state1ap2acc_parity_0099265290,periodic,24,229,11
2state1ap2acc_parity_0099265290_c,periodic,14,109,6
3state1ap0acc_004676,recurrent,11,110,6
3state1ap0acc_004676_c,recurrent,9,84,4
3state1ap0acc_004677,recurrent,12,97,4
3state1ap0acc_004677_c,recurrent,11,95,4
3state1ap0acc_004696,recurrent,11,115,6
3state1ap0acc_004696_c,recurrent,9,98,5
3state1ap0acc_004708,recurrent,11,100,5
3state1ap0acc_004708_c,recurrent,9,141,8
3state1ap0acc_004709,recurrent,14,253,10
3state1ap0acc_004709_c,recurrent,11,184,8
3state1ap0acc_004740,recurrent,11,129,6
3state1ap0acc_004740_c,recurrent,11,128,6
3state1ap0acc_004741,recurrent,9,96,5
3state1ap0acc_004745,recurrent,12,113,5
3state1ap0acc_004745_c,recurrent,11,99,4
3state1ap0acc_004748,recurrent,11,94,4
3state1ap0acc_004748_c,recurrent,11,143,7
3state1ap0acc_004749,recurrent,11,111,5
3state1ap0acc_004756,recurrent,13,121,6
3state1ap0acc_004756_c,recurrent,11,95,4
3state1ap0acc_004760,recurrent,13,139,7
3state1ap0acc_004760_c,recurrent,11,99,4
3state1ap0acc_004764,recurrent,15,215,9
3state1ap0acc_004764_c,recurrent,13,145,5
3state1ap0acc_004772,recurrent,17,244,12
3state1ap0acc_004772_c,recurrent,13,235,11
3state1ap0acc_004773,recurrent,11,99,5
3state1ap0acc_004776,recurrent,15,250,12
3state1ap0acc_004776_c,recurrent,13,160,6
3state1ap0acc_004780,recurrent,19,268,11
3state1ap0acc_004780_c,recurrent,15,229,8
3state1ap0acc_004788,recurrent,17,254,12
3state1ap0acc_004788_c,recurrent,13,181,6
3state1ap0acc_004792,recurrent,20,369,16
3state1ap0acc_004792_c,recurrent,15,220,8
3state1ap0acc_004804,recurrent,13,121,6
3state1ap0acc_004804_c,recurrent,11,98,4
3state1ap0acc_004824,recurrent,18,467,18
3state1ap0acc_004824_c,recurrent,13,805,17
3state1ap0acc_004836,recurrent,13,155,7
2state1ap2acc_parity_0099450882,periodic,21,183,10
2state1ap2acc_parity_0099450882_c,periodic,22,251,9
2state1ap2acc_parity_0126010194,periodic,10,87,5
2state1ap2acc_parity_0126010194_c,periodic,11,89,5
3state1ap0acc_004836_c,recurrent,11,249,12
3state1ap0acc_005126,recurrent,12,133,7
3state1ap0acc_005126_c,recurrent,9,84,4
3state1ap0acc_005128,recurrent,11,210,12
3state1ap0acc_005129,recurrent,9,155,8
3state1ap0acc_005129_c,recurrent,9,179,10
3state1ap0acc_005130,recurrent,9,96,5
3state1ap0acc_005130_c,recurrent,9,113,6
3state1ap0acc_005132,recurrent,11,154,9
3state1ap0acc_005132_c,recurrent,9,125,6
3state1ap0acc_005134,recurrent,20,281,13
3state1ap0acc_005134_c,recurrent,15,185,7
3state1ap0acc_005144,recurrent,10,127,7
3state1ap0acc_005144_c,recurrent,9,125,6
3state1ap0acc_005148,recurrent,16,224,11
3state1ap0acc_005148_c,recurrent,13,169,7
3state1ap0acc_005156,recurrent,11,150,8
3state1ap0acc_005156_c,recurrent,9,108,6
3state1ap0acc_005158,recurrent,20,281,13
3state1ap0acc_005158_c,recurrent,15,187,7
3state1ap0acc_005160,recurrent,12,148,8
3state1ap0acc_005160_c,recurrent,11,109,5
3state1ap0acc_005162,recurrent,11,180,8
3state1ap0acc_005162_c,recurrent,11,192,9
3state1ap0acc_005164,recurrent,20,276,13
3state1ap0acc_005164_c,recurrent,15,150,5
3state1ap0acc_005166,recurrent,14,143,7
3state1ap0acc_005166_c,recurrent,11,130,6
3state1ap0acc_005252,recurrent,13,139,8
3state1ap0acc_005252_c,recurrent,9,84,4
3state1ap0acc_005254,recurrent,12,241,10
3state1ap0acc_005254_c,recurrent,9,84,4
3state1ap0acc_005256,recurrent,13,139,8
3state1ap0acc_005256_c,recurrent,9,119,6
3state1ap0acc_005257,recurrent,10,263,9
3state1ap0acc_005257_c,recurrent,9,151,7
3state1ap0acc_005260,recurrent,13,139,8
3state1ap0acc_005260_c,recurrent,9,84,4
3state1ap0acc_005261,recurrent,16,195,10
3state1ap0acc_005261_c,recurrent,11,142,6
2state1ap2acc_parity_0130047747,periodic,9,82,4
2state1ap2acc_parity_0138479656,periodic,12,75,5
2state1ap2acc_parity_0138479656_c,periodic,12,54,3
2state1ap2acc_parity_0138730120,periodic,22,260,12
3state1ap0acc_005262,recurrent,22,459,20
3state1ap0acc_005262_c,recurrent,15,231,7
3state1ap0acc_005268,recurrent,15,202,10
3state1ap0acc_005268_c,recurrent,13,138,5
3state1ap0acc_005276,recurrent,-1,-1,-1
3state1ap0acc_005276_c,recurrent,17,299,11
3state1ap0acc_005284,recurrent,13,200,10
3state1ap0acc_005284_c,recurrent,9,131,7
3state1ap0acc_005286,recurrent,22,890,27
3state1ap0acc_005286_c,recurrent,15,675,14
3state1ap0acc_005288,recurrent,12,148,8
3state1ap0acc_005288_c,recurrent,11,173,7
3state1ap0acc_005292,recurrent,-1,-1,-1
3state1ap0acc_005292_c,recurrent,17,356,11
3state1ap0acc_005294,recurrent,16,215,11
3state1ap0acc_005294_c,recurrent,11,125,5
3state1ap0acc_005300,recurrent,18,269,12
3state1ap0acc_005300_c,recurrent,13,174,6
3state1ap0acc_005304,recurrent,15,331,13
3state1ap0acc_005304_c,recurrent,11,125,5
3state1ap0acc_005382,recurrent,14,208,9
3state1ap0acc_005382_c,recurrent,13,196,8
3state1ap0acc_005384,recurrent,13,212,10
3state1ap0acc_005384_c,recurrent,13,137,6
3state1ap0acc_005386,recurrent,14,171,8
3state1ap0acc_005386_c,recurrent,13,112,4
3state1ap0acc_005388,recurrent,13,191,9
3state1ap0acc_005388_c,recurrent,13,152,6
3state1ap0acc_005390,recurrent,16,218,9
3state1ap0acc_005390_c,recurrent,15,185,7
3state1ap0acc_005400,recurrent,15,193,9
3state1ap0acc_005400_c,recurrent,13,152,6
3state1ap0acc_005402,recurrent,16,246,11
3state1ap0acc_005402_c,recurrent,13,174,6
3state1ap0acc_005404,recurrent,13,191,9
3state1ap0acc_005404_c,recurrent,13,169,7
3state1ap0acc_005412,recurrent,15,220,10
3state1ap0acc_005412_c,recurrent,13,258,11
3state1ap0acc_005414,recurrent,18,232,9
3state1ap0acc_005414_c,recurrent,17,200,7
2state1ap2acc_parity_0138730120_c,periodic,24,327,14
2state1ap2acc_parity_0138758442,periodic,13,107,6
2state1ap2acc_parity_0138758442_c,periodic,22,269,14
2state1ap2acc_parity_0140935178,periodic,17,198,8
3state1ap0acc_005420,recurrent,13,178,8
3state1ap0acc_005420_c,recurrent,13,137,5
3state1ap0acc_005422,recurrent,13,207,9
3state1ap0acc_005422_c,recurrent,13,141,5
3state1ap0acc_005512,recurrent,18,278,12
3state1ap0acc_005512_c,recurrent,15,169,6
3state1ap0acc_005514,recurrent,14,313,13
3state1ap0acc_005514_c,recurrent,13,174,7
3state1ap0acc_005528,recurrent,20,270,12
3state1ap0acc_005528_c,recurrent,15,189,6
3state1ap0acc_005530,recurrent,16,438,15
3state1ap0acc_005530_c,recurrent,13,260,9
3state1ap0acc_005636,recurrent,12,127,7
3state1ap0acc_005636_c,recurrent,9,84,4
3state1ap0acc_005637,recurrent,12,97,4
3state1ap0acc_005637_c,recurrent,11,95,4
3state1ap0acc_005638,recurrent,13,180,9
3state1ap0acc_005638_c,recurrent,9,123,6
3state1ap0acc_005644,recurrent,12,189,9
3state1ap0acc_005644_c,recurrent,9,98,5
3state1ap0acc_005646,recurrent,21,663,24
3state1ap0acc_005646_c,recurrent,15,320,11
3state1ap0acc_005652,recurrent,16,194,8
3state1ap0acc_005652_c,recurrent,15,243,9
3state1ap0acc_005654,recurrent,15,695,22
3state1ap0acc_005654_c,recurrent,13,360,15
3state1ap0acc_005668,recurrent,12,156,8
3state1ap0acc_005668_c,recurrent,9,122,7
3state1ap0acc_005669,recurrent,16,294,12
3state1ap0acc_005669_c,recurrent,13,465,15
3state1ap0acc_005670,recurrent,24,392,17
3state1ap0acc_005670_c,recurrent,17,204,6
3state1ap0acc_005672,recurrent,15,200,10
3state1ap0acc_005672_c,recurrent,13,138,6
3state1ap0acc_005673,recurrent,12,413,16
3state1ap0acc_005673_c,recurrent,11,414,15
3state1ap0acc_005676,recurrent,21,494,19
3state1ap0acc_005676_c,recurrent,15,248,9
3state1ap0acc_005678,recurrent,15,190,9
3state1ap0acc_005678_c,recurrent,11,139,6
2state1ap2acc_parity_0140935178_c,periodic,21,239,11
2state1ap2acc_parity_0144393216,periodic,24,272,13
2state1ap2acc_parity_0144393216_c,periodic,22,264,10
2state1ap2acc_parity_0145166592,periodic,15,123,7
1state2ap2acc_parity_04620,periodic,4,35,2
1state2ap2acc_parity_04620_c,periodic,5,62,3
1state2ap2acc_parity_05640,periodic,4,34,2
1state2ap2acc_parity_05640_c,periodic,5,62,3
3state1ap0acc_005684,recurrent,18,252,10
3state1ap0acc_005684_c,recurrent,15,373,11
3state1ap0acc_005686,recurrent,14,179,7
3state1ap0acc_005686_c,recurrent,13,191,8
3state1ap0acc_005688,recurrent,16,330,13
3state1ap0acc_005688_c,recurrent,13,138,5
3state1ap0acc_005692,recurrent,14,554,16
3state1ap0acc_005692_c,recurrent,13,170,7
3state1ap0acc_005700,recurrent,14,179,8
3state1ap0acc_005700_c,recurrent,13,138,5
3state1ap0acc_005732,recurrent,16,248,11
3state1ap0acc_005732_c,recurrent,13,180,6
3state1ap0acc_005764,recurrent,20,271,13
3state1ap0acc_005764_c,recurrent,15,155,5
3state1ap0acc_005766,recurrent,21,777,26
3state1ap0acc_005766_c,recurrent,15,885,18
3state1ap0acc_005769,recurrent,12,174,8
3state1ap0acc_005769_c,recurrent,11,140,6
3state1ap0acc_005772,recurrent,20,411,19
3state1ap0acc_005772_c,recurrent,15,289,11
3state1ap0acc_005773,recurrent,14,180,9
3state1ap0acc_005773_c,recurrent,11,142,6
3state1ap0acc_005774,recurrent,14,186,9
3state1ap0acc_005774_c,recurrent,11,124,5
3state1ap0acc_005780,recurrent,16,196,8
3state1ap0acc_005780_c,recurrent,15,156,5
3state1ap0acc_005788,recurrent,21,521,18
3state1ap0acc_005788_c,recurrent,17,374,12
3state1ap0acc_005796,recurrent,26,290,12
3state1ap0acc_005796_c,recurrent,17,402,13
3state1ap0acc_005800,recurrent,17,264,12
3state1ap0acc_005800_c,recurrent,15,173,6
3state1ap0acc_005812,recurrent,22,316,14
3state1ap0acc_005812_c,recurrent,15,196,6
3state1ap0acc_005816,recurrent,19,891,19
3state1ap0acc_005816_c,recurrent,15,246,9
3state1ap0acc_005828,recurrent,13,107,4
3state1ap0acc_005828_c,recurrent,13,141,5
3state1ap0acc_005860,recurrent,15,239,11
3state1ap0acc_005860_c,recurrent,13,179,6
2state1ap2acc_parity_0145166592_c,periodic,15,95,6
2state1ap2acc_parity_0148915715,periodic,8,73,4
2state1ap2acc_parity_0148915715_c,periodic,9,104,5
2state1ap2acc_parity_0148980997,periodic,14,117,6
3state1ap0acc_006148,recurrent,11,212,12
3state1ap0acc_006148_c,recurrent,9,166,9
3state1ap0acc_006149,recurrent,9,96,5
3state1ap0acc_006149_c,recurrent,9,142,8
3state1ap0acc_006150,recurrent,12,115,6
3state1ap0acc_006150_c,recurrent,9,131,7
3state1ap0acc_006152,recurrent,11,170,10
3state1ap0acc_006153,recurrent,9,84,4
3state1ap0acc_006153_c,recurrent,9,144,8
3state1ap0acc_006154,recurrent,11,107,5
3state1ap0acc_006154_c,recurrent,11,281,12
3state1ap0acc_006156,recurrent,11,170,10
3state1ap0acc_006156_c,recurrent,9,184,10
3state1ap0acc_006157,recurrent,16,137,6
3state1ap0acc_006157_c,recurrent,13,108,4
3state1ap0acc_006158,recurrent,17,225,9
3state1ap0acc_006158_c,recurrent,13,309,13
3state1ap0acc_006164,recurrent,10,108,6
3state1ap0acc_006164_c,recurrent,9,142,8
3state1ap0acc_006166,recurrent,10,111,6
3state1ap0acc_006166_c,recurrent,9,97,5
3state1ap0acc_006168,recurrent,11,125,7
3state1ap0acc_006168_c,recurrent,9,175,10
3state1ap0acc_006170,recurrent,16,196,9
3state1ap0acc_006170_c,recurrent,13,138,5
3state1ap0acc_006172,recurrent,12,119,6
3state1ap0acc_006172_c,recurrent,11,97,4
3state1ap0acc_006174,recurrent,15,228,10
3state1ap0acc_006174_c,recurrent,13,173,6
3state1ap0acc_006180,recurrent,10,87,5
3state1ap0acc_006180_c,recurrent,9,116,6
3state1ap0acc_006182,recurrent,13,140,6
3state1ap0acc_006182_c,recurrent,11,113,5
3state1ap0acc_006184,recurrent,10,101,6
3state1ap0acc_006184_c,recurrent,9,116,6
3state1ap0acc_006185,recurrent,9,121,6
3state1ap0acc_006185_c,recurrent,9,157,8
3state1ap0acc_006188,recurrent,12,208,10
3state1ap0acc_006188_c,recurrent,11,225,9
3state1ap0acc_006198,recurrent,13,166,8
2state1ap2acc_parity_0148980997_c,periodic,19,162,8
2state1ap2acc_parity_0152260743,periodic,10,115,5
2state1ap2acc_parity_0152260743_c,periodic,9,84,4
2state1ap2acc_parity_0156533284,periodic,9,79,5
3state1ap0acc_006198_c,recurrent,11,113,5
3state1ap0acc_006200,recurrent,10,94,5
3state1ap0acc_006200_c,recurrent,9,112,6
3state1ap0acc_006204,recurrent,10,171,8
3state1ap0acc_006204_c,recurrent,9,160,8
3state1ap0acc_006276,recurrent,14,127,6
3state1ap0acc_006276_c,recurrent,13,193,8
3state1ap0acc_006278,recurrent,15,162,6
3state1ap0acc_006278_c,recurrent,13,223,9
3state1ap0acc_006280,recurrent,12,119,6
3state1ap0acc_006280_c,recurrent,11,301,12
3state1ap0acc_006284,recurrent,18,202,9
3state1ap0acc_006284_c,recurrent,15,375,13
3state1ap0acc_006286,recurrent,18,201,8
3state1ap0acc_006286_c,recurrent,15,182,7
3state1ap0acc_006292,recurrent,15,178,8
3state1ap0acc_006292_c,recurrent,13,138,5
3state1ap0acc_006296,recurrent,15,153,8
3state1ap0acc_006296_c,recurrent,11,99,4
3state1ap0acc_006300,recurrent,19,282,12
3state1ap0acc_006300_c,recurrent,15,200,6
3state1ap0acc_006308,recurrent,20,331,17
3state1ap0acc_006308_c,recurrent,13,342,14
3state1ap0acc_006310,recurrent,11,97,4
3state1ap0acc_006310_c,recurrent,11,113,5
3state1ap0acc_006324,recurrent,15,230,10
3state1ap0acc_006324_c,recurrent,13,177,6
3state1ap0acc_006328,recurrent,15,248,12
3state1ap0acc_006328_c,recurrent,11,128,5
3state1ap0acc_006406,recurrent,10,141,7
3state1ap0acc_006406_c,recurrent,9,113,6
3state1ap0acc_006408,recurrent,12,153,9
3state1ap0acc_006408_c,recurrent,9,150,8
3state1ap0acc_006409,recurrent,10,86,4
3state1ap0acc_006409_c,recurrent,9,112,6
3state1ap0acc_006410,recurrent,14,201,9
3state1ap0acc_006410_c,recurrent,13,136,6
3state1ap0acc_006412,recurrent,12,198,9
3state1ap0acc_006412_c,recurrent,9,320,12
3state1ap0acc_006413,recurrent,17,210,9
2state1ap2acc_parity_0156533284_c,periodic,8,47,4
2state1ap2acc_parity_0159485788,periodic,8,74,4
2state1ap2acc_parity_0159485788_c,periodic,9,104,5
2state1ap2acc_parity_0173097769,periodic,12,98,5
3state1ap0acc_006413_c,recurrent,13,190,7
3state1ap0acc_006414,recurrent,14,197,8
3state1ap0acc_006414_c,recurrent,13,226,9
3state1ap0acc_006422,recurrent,18,251,10
3state1ap0acc_006422_c,recurrent,15,192,6
3state1ap0acc_006424,recurrent,12,127,7
3state1ap0acc_006424_c,recurrent,9,112,6
3state1ap0acc_006426,recurrent,19,296,14
3state1ap0acc_006426_c,recurrent,13,173,6
3state1ap0acc_006428,recurrent,18,620,21
3state1ap0acc_006428_c,recurrent,13,345,12
3state1ap0acc_006430,recurrent,19,281,13
3state1ap0acc_006430_c,recurrent,13,173,6
3state1ap0acc_006438,recurrent,12,152,7
3state1ap0acc_006438_c,recurrent,11,125,5
3state1ap0acc_006440,recurrent,15,205,9
3state1ap0acc_006440_c,recurrent,13,381,14
3state1ap0acc_006442,recurrent,14,222,10
3state1ap0acc_006442_c,recurrent,13,142,6
3state1ap0acc_006444,recurrent,13,255,11
3state1ap0acc_006444_c,recurrent,11,139,6
3state1ap0acc_006456,recurrent,14,199,10
3state1ap0acc_006456_c,recurrent,11,127,5
3state1ap0acc_006470,recurrent,17,308,13
3state1ap0acc_006470_c,recurrent,13,909,14
3state1ap0acc_006472,recurrent,14,193,10
3state1ap0acc_006472_c,recurrent,11,191,9
3state1ap0acc_006476,recurrent,16,204,10
3state1ap0acc_006476_c,recurrent,11,143,6
3state1ap0acc_006478,recurrent,14,183,9
3state1ap0acc_006478_c,recurrent,11,113,5
3state1ap0acc_006488,recurrent,14,233,11
3state1ap0acc_006488_c,recurrent,11,128,5
3state1ap0acc_006536,recurrent,12,137,7
3state1ap0acc_006536_c,recurrent,11,182,8
3state1ap0acc_006538,recurrent,16,753,23
3state1ap0acc_006538_c,recurrent,15,1087,24
3state1ap0acc_006568,recurrent,-1,-1,-1
3state1ap0acc_006568_c,recurrent,17,762,15
3state1ap0acc_006570,recurrent,16,1033,33
2state1ap2acc_parity_0173097769_c,periodic,7,35,3
2state1ap2acc_parity_0174933248,periodic,16,127,7
2state1ap2acc_parity_0174933248_c,periodic,19,162,8
2state1ap2acc_parity_0175001344,periodic,14,117,7
3state1ap0acc_006570_c,recurrent,15,566,21
3state1ap0acc_006600,recurrent,15,255,12
3state1ap0acc_006600_c,recurrent,13,202,8
3state1ap0acc_006660,recurrent,11,107,5
3state1ap0acc_006660_c,recurrent,11,170,7
3state1ap0acc_006662,recurrent,12,101,4
3state1ap0acc_006662_c,recurrent,11,129,6
3state1ap0acc_006668,recurrent,11,141,7
3state1ap0acc_006668_c,recurrent,11,161,7
3state1ap0acc_006669,recurrent,14,245,9
3state1ap0acc_006669_c,recurrent,13,468,11
3state1ap0acc_006670,recurrent,16,205,6
3state1ap0acc_006670_c,recurrent,15,386,14
3state1ap0acc_006680,recurrent,13,125,6
3state1ap0acc_006680_c,recurrent,11,101,4
3state1ap0acc_006684,recurrent,13,125,6
3state1ap0acc_006684_c,recurrent,11,99,4
3state1ap0acc_006692,recurrent,13,161,8
3state1ap0acc_006692_c,recurrent,11,601,18
3state1ap0acc_006788,recurrent,13,124,5
3state1ap0acc_006788_c,recurrent,13,165,8
3state1ap0acc_006790,recurrent,14,154,5
3state1ap0acc_006790_c,recurrent,13,417,17
3state1ap0acc_006796,recurrent,13,239,9
3state1ap0acc_006796_c,recurrent,13,297,13
3state1ap0acc_006798,recurrent,13,143,5
3state1ap0acc_006798_c,recurrent,13,280,12
3state1ap0acc_006808,recurrent,16,281,12
3state1ap0acc_006808_c,recurrent,13,146,5
3state1ap0acc_006812,recurrent,15,185,8
3state1ap0acc_006812_c,recurrent,13,145,5
3state1ap0acc_006820,recurrent,15,238,11
3state1ap0acc_006820_c,recurrent,13,422,16
3state1ap0acc_007172,recurrent,11,137,8
3state1ap0acc_007172_c,recurrent,9,142,8
3state1ap0acc_007174,recurrent,12,135,7
3state1ap0acc_007174_c,recurrent,9,113,6
3state1ap0acc_007176,recurrent,11,190,11
3state1ap0acc_007176_c,recurrent,9,190,10
3state1ap0acc_007177,recurrent,9,144,7
2state1ap2acc_parity_0175001344_c,periodic,16,151,8
2state1ap2acc_parity_0176351244,periodic,13,106,6
2state1ap2acc_parity_0176351244_c,periodic,19,241,9
2state1ap2acc_parity_0176724042,periodic,14,121,7
3state1ap0acc_007177_c,recurrent,9,227,11
3state1ap0acc_007178,recurrent,16,200,10
3state1ap0acc_007178_c,recurrent,13,121,5
3state1ap0acc_007180,recurrent,11,154,9
3state1ap0acc_007180_c,recurrent,9,167,9
3state1ap0acc_007181,recurrent,16,383,16
3state1ap0acc_007181_c,recurrent,-1,-1,-1
3state1ap0acc_007182,recurrent,28,398,17
3state1ap0acc_007182_c,recurrent,17,236,8
3state1ap0acc_007188,recurrent,16,231,11
3state1ap0acc_007188_c,recurrent,13,138,5
3state1ap0acc_007190,recurrent,17,241,10
3state1ap0acc_007190_c,recurrent,13,177,6
3state1ap0acc_007192,recurrent,11,143,8
3state1ap0acc_007192_c,recurrent,9,156,8
3state1ap0acc_007196,recurrent,-1,-1,-1
3state1ap0acc_007196_c,recurrent,15,265,10
3state1ap0acc_007198,recurrent,23,321,14
3state1ap0acc_007198_c,recurrent,15,188,6
3state1ap0acc_007204,recurrent,11,232,10
3state1ap0acc_007204_c,recurrent,9,108,6
3state1ap0acc_007206,recurrent,20,312,14
3state1ap0acc_007206_c,recurrent,15,792,17
3state1ap0acc_007208,recurrent,12,229,11
3state1ap0acc_007208_c,recurrent,11,149,7
3state1ap0acc_007212,recurrent,20,474,21
3state1ap0acc_007212_c,recurrent,15,336,12
3state1ap0acc_007214,recurrent,14,143,7
3state1ap0acc_007214_c,recurrent,11,113,5
3state1ap0acc_007300,recurrent,20,252,12
3state1ap0acc_007300_c,recurrent,15,151,5
