case,kind,size,MQ,EQ
3state1ap1acc_46306722133_c,periodic,11,76,5
3state1ap1acc_46339064451,periodic,9,42,3
3state1ap1acc_46475546712,periodic,12,66,4
1state3ap1acc_05896,periodic,5,49,2
1state3ap1acc_05896_c,periodic,7,107,3
1state3ap1acc_05928,periodic,5,56,2
1state3ap1acc_05928_c,periodic,7,107,3
3state1ap1acc_46475546712_c,periodic,10,73,5
3state1ap1acc_46565744772,periodic,10,55,4
3state1ap1acc_46565744772_c,periodic,17,148,9
3state1ap1acc_46783922256,periodic,16,119,7
3state1ap1acc_46783922256_c,periodic,29,281,12
3state1ap1acc_46880805085,periodic,18,121,6
3state1ap1acc_46880805085_c,periodic,15,105,5
3state1ap1acc_51627529236,periodic,11,67,5
3state1ap1acc_51627529236_c,periodic,15,128,8
3state1ap1acc_52892438391,periodic,8,41,3
3state1ap1acc_54870413440,periodic,9,125,6
3state1ap1acc_55983376460,periodic,9,43,3
1state1ap0acc_0,syntactic,2,4,1
1state1ap0acc_1,syntactic,6,40,3
1state1ap0acc_3,syntactic,3,8,1
1state1ap1acc_06,syntactic,3,8,1
1state1ap2acc_024,syntactic,4,20,2
1state1ap2acc_parity_018,syntactic,4,20,2
1state2ap0acc_01,syntactic,6,40,3
1state2ap0acc_01_c,syntactic,6,48,2
1state2ap0acc_03,syntactic,6,40,3
1state2ap0acc_03_c,syntactic,6,28,2
1state2ap0acc_06,syntactic,6,54,3
1state2ap0acc_06_c,syntactic,6,48,2
1state2ap0acc_07,syntactic,6,68,3
1state2ap0acc_07_c,syntactic,6,48,2
1state2ap1acc_018,syntactic,6,38,2
1state2ap1acc_018_c,syntactic,8,96,4
1state2ap1acc_022,syntactic,6,48,2
1state2ap1acc_022_c,syntactic,8,96,4
1state2ap1acc_024,syntactic,6,38,2
1state2ap1acc_024_c,syntactic,8,96,4
1state2ap1acc_026,syntactic,6,48,2
1state2ap1acc_026_c,syntactic,8,96,4
1state2ap1acc_030,syntactic,3,14,1
1state2ap1acc_052,syntactic,6,48,2
1state2ap1acc_052_c,syntactic,8,96,4
1state2ap1acc_060,syntactic,3,8,1
1state2ap1acc_097,syntactic,6,48,2
1state2ap1acc_097_c,syntactic,8,96,4
1state3ap1acc_05992,periodic,5,63,2
1state3ap1acc_05992_c,periodic,7,107,3
1state3ap1acc_06016,periodic,5,49,2
1state3ap1acc_06016_c,periodic,7,107,3
1state2ap1acc_105,syntactic,3,14,1
1state2ap1acc_120,syntactic,3,14,1
1state2ap2acc_00288,syntactic,7,95,5
1state2ap2acc_00288_c,syntactic,9,112,4
1state2ap2acc_00292,syntactic,7,72,3
1state2ap2acc_00292_c,syntactic,9,112,4
1state2ap2acc_00300,syntactic,4,34,2
1state2ap2acc_00300_c,syntactic,5,42,2
1state2ap2acc_00352,syntactic,7,120,5
1state2ap2acc_00352_c,syntactic,9,112,4
1state2ap2acc_00360,syntactic,4,34,2
1state2ap2acc_00360_c,syntactic,5,42,2
1state2ap2acc_00384,syntactic,7,95,5
1state2ap2acc_00384_c,syntactic,9,112,4
1state2ap2acc_00386,syntactic,7,72,3
1state2ap2acc_00386_c,syntactic,9,112,4
1state2ap2acc_00390,syntactic,4,34,2
1state2ap2acc_00390_c,syntactic,5,42,2
1state2ap2acc_00416,syntactic,7,120,5
1state2ap2acc_00416_c,syntactic,9,112,4
1state2ap2acc_00420,syntactic,4,34,2
1state2ap2acc_00420_c,syntactic,5,42,2
1state2ap2acc_00480,syntactic,4,34,2
1state2ap2acc_00480_c,syntactic,5,42,2
1state2ap2acc_00960,syntactic,4,20,2
1state2ap2acc_00960_c,syntactic,5,24,2
1state2ap2acc_01680,syntactic,4,34,2
1state2ap2acc_01680_c,syntactic,5,42,2
1state2ap2acc_04672,syntactic,7,120,5
1state2ap2acc_04672_c,syntactic,9,112,4
1state2ap2acc_04680,syntactic,4,34,2
1state2ap2acc_04680_c,syntactic,5,42,2
1state2ap2acc_04736,syntactic,7,120,5
1state2ap2acc_04736_c,syntactic,9,112,4
1state2ap2acc_04740,syntactic,4,34,2
1state2ap2acc_04740_c,syntactic,5,42,2
1state2ap2acc_04800,syntactic,4,34,2
1state2ap2acc_04800_c,syntactic,5,42,2
1state2ap2acc_05760,syntactic,4,34,2
1state2ap2acc_05760_c,syntactic,5,42,2
1state3ap1acc_06024,periodic,5,56,2
1state3ap1acc_06024_c,periodic,7,107,3
1state3ap1acc_06056,periodic,5,63,2
1state3ap1acc_06056_c,periodic,7,107,3
1state2ap2acc_13440,syntactic,4,34,2
1state2ap2acc_13440_c,syntactic,5,42,2
1state2ap2acc_24960,syntactic,4,34,2
1state2ap2acc_24960_c,syntactic,5,42,2
1state2ap2acc_parity_00258,syntactic,7,73,4
1state2ap2acc_parity_00258_c,syntactic,7,52,2
1state2ap2acc_parity_00262,syntactic,7,92,4
1state2ap2acc_parity_00262_c,syntactic,7,52,2
1state2ap2acc_parity_00264,syntactic,7,73,4
1state2ap2acc_parity_00264_c,syntactic,7,52,2
1state2ap2acc_parity_00266,syntactic,7,92,4
1state2ap2acc_parity_00266_c,syntactic,7,52,2
1state2ap2acc_parity_00270,syntactic,4,34,2
1state2ap2acc_parity_00772,syntactic,7,92,4
1state2ap2acc_parity_00772_c,syntactic,7,52,2
1state2ap2acc_parity_00780,syntactic,4,20,2
1state2ap2acc_parity_01537,syntactic,7,92,4
1state2ap2acc_parity_01537_c,syntactic,7,52,2
1state2ap2acc_parity_01545,syntactic,4,34,2
1state2ap2acc_parity_01800,syntactic,4,34,2
1state2ap2acc_parity_04612,syntactic,7,72,3
1state2ap2acc_parity_04612_c,syntactic,9,156,6
1state2ap2acc_parity_04616,syntactic,7,72,3
1state2ap2acc_parity_04616_c,syntactic,9,156,6
1state2ap2acc_parity_04620,syntactic,4,35,2
1state2ap2acc_parity_04620_c,syntactic,5,62,3
1state2ap2acc_parity_05640,syntactic,4,34,2
1state2ap2acc_parity_05640_c,syntactic,5,62,3
1state2ap2acc_parity_06146,syntactic,7,73,3
1state2ap2acc_parity_06146_c,syntactic,9,156,6
1state2ap2acc_parity_06150,syntactic,4,34,2
1state2ap2acc_parity_06150_c,syntactic,5,62,3
1state2ap2acc_parity_06660,syntactic,4,34,2
1state2ap2acc_parity_06660_c,syntactic,5,62,3
1state2ap2acc_parity_13320,syntactic,4,34,2
1state2ap2acc_parity_13320_c,syntactic,5,62,3
1state2ap2acc_parity_24840,syntactic,4,35,2
1state2ap2acc_parity_24840_c,syntactic,5,62,3
1state3ap0acc_001,syntactic,6,40,3
1state3ap0acc_001_c,syntactic,6,88,2
1state3ap1acc_06120,periodic,3,26,1
1state3ap1acc_06120_c,periodic,4,62,2
1state3ap1acc_06145,periodic,5,35,2
1state3ap1acc_06145_c,periodic,7,107,3
1state3ap0acc_003,syntactic,6,40,3
1state3ap0acc_003_c,syntactic,6,48,2
1state3ap0acc_006,syntactic,6,54,3
1state3ap0acc_006_c,syntactic,6,88,2
1state3ap0acc_007,syntactic,6,68,3
1state3ap0acc_007_c,syntactic,6,88,2
1state3ap0acc_015,syntactic,6,40,3
1state3ap0acc_015_c,syntactic,6,28,2
1state3ap0acc_022,syntactic,6,68,3
1state3ap0acc_022_c,syntactic,6,88,2
1state3ap0acc_023,syntactic,6,82,3
1state3ap0acc_023_c,syntactic,6,88,2
1state3ap0acc_024,syntactic,6,54,3
1state3ap0acc_024_c,syntactic,6,88,2
1state3ap0acc_025,syntactic,6,68,3
1state3ap0acc_025_c,syntactic,6,88,2
1state3ap0acc_027,syntactic,6,82,3
1state3ap0acc_027_c,syntactic,6,88,2
1state3ap0acc_030,syntactic,6,82,3
1state3ap0acc_030_c,syntactic,6,88,2
1state3ap0acc_031,syntactic,6,96,3
1state3ap0acc_031_c,syntactic,6,88,2
1state3ap0acc_060,syntactic,6,54,3
1state3ap0acc_060_c,syntactic,6,48,2
1state3ap0acc_061,syntactic,6,96,3
1state3ap0acc_061_c,syntactic,6,88,2
1state3ap0acc_063,syntactic,6,68,3
1state3ap0acc_063_c,syntactic,6,48,2
1state3ap0acc_105,syntactic,6,82,3
1state3ap0acc_105_c,syntactic,6,88,2
1state3ap0acc_107,syntactic,6,96,3
1state3ap0acc_107_c,syntactic,6,88,2
1state3ap0acc_111,syntactic,6,110,3
1state3ap0acc_111_c,syntactic,6,88,2
1state3ap0acc_126,syntactic,6,110,3
1state3ap0acc_126_c,syntactic,6,88,2
1state3ap0acc_127,syntactic,6,124,3
1state3ap0acc_127_c,syntactic,6,88,2
1state3ap1acc_00258,syntactic,6,38,2
1state3ap1acc_00258_c,syntactic,8,176,4
1state3ap1acc_06147,periodic,5,42,2
1state3ap1acc_06147_c,periodic,7,107,3
1state3ap1acc_06150,periodic,5,42,2
1state3ap1acc_06150_c,periodic,7,107,3
1state2ap2acc_00352,periodic,7,83,4
1state2ap2acc_00352_c,periodic,8,67,3
1state2ap2acc_00360,periodic,4,34,2
1state2ap2acc_00360_c,periodic,5,42,2
1state3ap1acc_00262,syntactic,6,48,2
1state3ap1acc_00262_c,syntactic,8,176,4
1state3ap1acc_00264,syntactic,6,38,2
1state3ap1acc_00264_c,syntactic,8,176,4
1state3ap1acc_00266,syntactic,6,48,2
1state3ap1acc_00266_c,syntactic,8,176,4
1state3ap1acc_00270,syntactic,6,58,2
1state3ap1acc_00270_c,syntactic,8,176,4
1state3ap1acc_00278,syntactic,6,58,2
1state3ap1acc_00278_c,syntactic,8,176,4
1state3ap1acc_00280,syntactic,6,48,2
1state3ap1acc_00280_c,syntactic,8,176,4
1state3ap1acc_00282,syntactic,6,58,2
1state3ap1acc_00282_c,syntactic,8,176,4
1state3ap1acc_00286,syntactic,6,68,2
1state3ap1acc_00286_c,syntactic,8,176,4
1state3ap1acc_00296,syntactic,6,48,2
1state3ap1acc_00296_c,syntactic,8,176,4
1state3ap1acc_00298,syntactic,6,58,2
1state3ap1acc_00298_c,syntactic,8,176,4
1state3ap1acc_00300,syntactic,6,58,2
1state3ap1acc_00300_c,syntactic,8,176,4
1state3ap1acc_00302,syntactic,6,68,2
1state3ap1acc_00302_c,syntactic,8,176,4
1state3ap1acc_00316,syntactic,6,68,2
1state3ap1acc_00316_c,syntactic,8,176,4
1state3ap1acc_00318,syntactic,6,78,2
1state3ap1acc_00318_c,syntactic,8,176,4
1state3ap1acc_00360,syntactic,6,58,2
1state3ap1acc_00360_c,syntactic,8,176,4
1state3ap1acc_00362,syntactic,6,68,2
1state3ap1acc_00362_c,syntactic,8,176,4
1state3ap1acc_00366,syntactic,6,78,2
1state3ap1acc_00366_c,syntactic,8,176,4
1state3ap1acc_00382,syntactic,6,88,2
1state3ap1acc_00382_c,syntactic,8,176,4
1state3ap1acc_00384,syntactic,6,38,2
1state3ap1acc_00384_c,syntactic,8,176,4
1state3ap1acc_00386,syntactic,6,48,2
1state3ap1acc_00386_c,syntactic,8,176,4
1state3ap1acc_06151,periodic,5,49,2
1state3ap1acc_06151_c,periodic,7,107,3
1state3ap1acc_06180,periodic,5,42,2
1state3ap1acc_06180_c,periodic,7,107,3
1state3ap1acc_00390,syntactic,6,58,2
1state3ap1acc_00390_c,syntactic,8,176,4
1state3ap1acc_00392,syntactic,6,48,2
1state3ap1acc_00392_c,syntactic,8,176,4
1state3ap1acc_00394,syntactic,6,58,2
1state3ap1acc_00394_c,syntactic,8,176,4
1state3ap1acc_00398,syntactic,6,68,2
1state3ap1acc_00398_c,syntactic,8,176,4
1state3ap1acc_00406,syntactic,6,68,2
1state3ap1acc_00406_c,syntactic,8,176,4
1state3ap1acc_00408,syntactic,6,58,2
1state3ap1acc_00408_c,syntactic,8,176,4
1state3ap1acc_00410,syntactic,6,68,2
1state3ap1acc_00410_c,syntactic,8,176,4
1state3ap1acc_00414,syntactic,6,78,2
1state3ap1acc_00414_c,syntactic,8,176,4
1state3ap1acc_00424,syntactic,6,58,2
1state3ap1acc_00424_c,syntactic,8,176,4
1state3ap1acc_00426,syntactic,6,68,2
1state3ap1acc_00426_c,syntactic,8,176,4
1state3ap1acc_00428,syntactic,6,68,2
1state3ap1acc_00428_c,syntactic,8,176,4
1state3ap1acc_00430,syntactic,6,78,2
1state3ap1acc_00430_c,syntactic,8,176,4
1state3ap1acc_00444,syntactic,6,78,2
1state3ap1acc_00444_c,syntactic,8,176,4
1state3ap1acc_00446,syntactic,6,88,2
1state3ap1acc_00446_c,syntactic,8,176,4
1state3ap1acc_00488,syntactic,6,68,2
1state3ap1acc_00488_c,syntactic,8,176,4
1state3ap1acc_00490,syntactic,6,78,2
1state3ap1acc_00490_c,syntactic,8,176,4
1state3ap1acc_00494,syntactic,6,88,2
1state3ap1acc_00494_c,syntactic,8,176,4
