case_id,config_id,seed,ap_count,ref_classes,learned_classes,n_member_total,n_member_fill,n_member_harvest,n_member_saturation,n_member_pcache,n_equiv,n_splits,n_columns_lin,n_columns_om,n_saturation_checks,n_saturation_escalations,n_classes_initial,stall_class,n_guard_firings,guard_fired_final,cex_policy,max_cex_stem,max_cex_loop,max_query_word_len,eq_certification,export_associative,fixpoint_congruent,wall_seconds,verdict,detail
1state2ap2acc_24960_c,default,0,2,5,5,52,44,4,0,4,2,3,0,3,4,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00258,default,0,2,4,4,28,25,2,0,1,2,2,1,1,3,0,2,,-1,-1,minimal,1,1,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00258_c,default,0,2,4,4,28,25,2,0,1,2,2,1,1,3,0,2,,-1,-1,minimal,1,1,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00262,default,0,2,4,4,28,25,2,0,1,2,2,1,1,3,0,2,,-1,-1,minimal,1,1,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00262_c,default,0,2,4,4,28,25,2,0,1,2,2,1,1,3,0,2,,-1,-1,minimal,1,1,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00264,default,0,2,4,4,28,26,1,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00264_c,default,0,2,4,4,28,26,1,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00266,default,0,2,4,4,28,26,1,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00266_c,default,0,2,4,4,28,26,1,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00270,default,0,2,3,3,13,12,1,0,0,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00772,default,0,2,4,4,29,26,2,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00772_c,default,0,2,4,4,29,26,2,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_00780,default,0,1,3,3,5,4,1,0,0,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_01537,default,0,2,4,4,29,25,2,0,2,2,2,1,1,3,0,2,,-1,-1,minimal,1,1,2,exact,true,true,0.001,SOUND,
