input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
2state1ap1acc_00771.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00771.hoa
2state1ap1acc_00774.hoa,LTL,oracle,0.609,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00774.hoa
2state1ap1acc_00775.hoa,LTL,oracle,0.590,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00775.hoa
2state1ap1acc_00783.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00783.hoa
2state1ap1acc_00784.hoa,NOT_LTL,oracle,0.585,p=2 u=[!a] v=[!a] x=[!a; a; cycle{!a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00784.hoa
2state1ap1acc_00785.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00785.hoa
2state1ap1acc_00788.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00788.hoa
2state1ap1acc_00789.hoa,LTL,oracle,0.590,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00789.hoa
2state1ap1acc_00792.hoa,LTL,oracle,0.588,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00792.hoa
2state1ap1acc_00793.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00793.hoa
2state1ap1acc_00796.hoa,LTL,oracle,0.581,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00796.hoa
2state1ap1acc_00836.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00836.hoa
2state1ap1acc_00838.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00838.hoa
2state1ap1acc_00840.hoa,LTL,oracle,0.598,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00840.hoa
2state1ap1acc_00841.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00841.hoa
2state1ap1acc_00844.hoa,LTL,oracle,0.595,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00844.hoa
2state1ap1acc_00868.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00868.hoa
2state1ap1acc_00870.hoa,LTL,oracle,0.597,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00870.hoa
2state1ap1acc_00872.hoa,LTL,oracle,0.597,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00872.hoa
2state1ap1acc_00876.hoa,LTL,oracle,0.598,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00876.hoa
2state1ap1acc_00964.hoa,LTL,oracle,0.596,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00964.hoa
2state1ap1acc_00965.hoa,LTL,oracle,0.589,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00965.hoa
2state1ap1acc_00966.hoa,LTL,oracle,0.595,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00966.hoa
2state1ap1acc_00972.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00972.hoa
2state1ap1acc_01046.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01046.hoa
2state1ap1acc_01065.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01065.hoa
2state1ap1acc_01090.hoa,NOT_LTL,oracle,0.593,p=2 u=[!a] v=[!a] x=[cycle{a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01090.hoa
2state1ap1acc_01120.hoa,NOT_LTL,oracle,0.589,p=2 u=[!a] v=[!a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01120.hoa
2state1ap1acc_01121.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01121.hoa
2state1ap1acc_01122.hoa,NOT_LTL,oracle,0.593,p=2 u=[!a] v=[!a] x=[cycle{a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01122.hoa
2state1ap1acc_01128.hoa,NOT_LTL,oracle,0.601,p=2 u=[!a] v=[!a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01128.hoa
2state1ap1acc_01136.hoa,NOT_LTL,oracle,0.588,p=2 u=[!a; !a] v=[!a] x=[!a; a; cycle{!a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01136.hoa
2state1ap1acc_01138.hoa,NOT_LTL,oracle,0.591,p=2 u=[!a] v=[!a] x=[cycle{a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01138.hoa
2state1ap1acc_01153.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01153.hoa
2state1ap1acc_01154.hoa,LTL,oracle,0.596,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01154.hoa
2state1ap1acc_01168.hoa,NOT_LTL,oracle,0.594,p=2 u=[!a; !a] v=[!a] x=[!a; a; cycle{!a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01168.hoa
2state1ap1acc_01170.hoa,NOT_LTL,oracle,0.595,p=2 u=[!a; !a] v=[!a] x=[!a; cycle{a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01170.hoa
2state1ap1acc_01172.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01172.hoa
2state1ap1acc_01176.hoa,NOT_LTL,oracle,0.595,p=2 u=[!a; !a] v=[!a] x=[!a; a; cycle{!a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01176.hoa
2state1ap1acc_01218.hoa,NOT_LTL,oracle,0.646,p=2 u=[!a] v=[!a] x=[cycle{a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01218.hoa
2state1ap1acc_01392.hoa,NOT_LTL,oracle,0.596,p=2 u=[!a; !a] v=[!a] x=[!a; a; cycle{!a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01392.hoa
2state1ap1acc_01556.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01556.hoa
2state1ap1acc_01558.hoa,LTL,oracle,0.596,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01558.hoa
2state1ap1acc_01560.hoa,LTL,oracle,0.596,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01560.hoa
2state1ap1acc_01561.hoa,LTL,oracle,0.601,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01561.hoa
2state1ap1acc_01564.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01564.hoa
2state1ap1acc_01576.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01576.hoa
2state1ap1acc_01577.hoa,LTL,oracle,0.598,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01577.hoa
2state1ap1acc_01588.hoa,LTL,oracle,0.596,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01588.hoa
2state1ap1acc_01592.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01592.hoa
2state1ap1acc_01593.hoa,LTL,oracle,0.583,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01593.hoa
2state1ap1acc_01596.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01596.hoa
2state1ap1acc_01600.hoa,NOT_LTL,oracle,0.595,p=2 u=[!a] v=[!a] x=[cycle{!a; a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01600.hoa
2state1ap1acc_01601.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01601.hoa
2state1ap1acc_01604.hoa,LTL,oracle,0.598,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01604.hoa
2state1ap1acc_01608.hoa,NOT_LTL,oracle,0.594,p=2 u=[] v=[!a] y=[!a; a],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01608.hoa
2state1ap1acc_01609.hoa,LTL,oracle,0.596,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01609.hoa
2state1ap1acc_01612.hoa,LTL,oracle,0.595,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01612.hoa
