id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
2state2ap2acc_parity_03089857006815921569,7,1,17,3,4,1,BUDGET,1000000,,,,,10.32
3state2ap2acc_parity_07501615681311615326456196240639721047872892_c,9,1,32,3,4,1,BUDGET,1000000,,,,,13.06
3state2ap2acc_parity_07501615681311615326456196240639721047872892_c,10,1,32,3,4,1,BUDGET,1000000,,,,,10.88
3state2ap2acc_parity_02791127200709611081342718726845015122588562_c,12,1,49,5,4,0,BUDGET,1000000,,,,,12.37
2state2ap2acc_parity_03089857006815921569_c,4,1,17,3,4,1,BUDGET,1000000,,,,,10.72
3state2ap2acc_parity_08047084544727828977737254914335587869492252,12,1,48,3,4,1,CONFLICT,1582,5,1,0,1,0.01
3state2ap2acc_parity_08047084544727828977737254914335587869492252,14,1,48,3,4,1,CONFLICT,2315,5,1,0,1,0.02
3state2ap2acc_parity_08047084544727828977737254914335587869492252,16,1,48,3,4,1,CONFLICT,2316,5,1,0,1,0.01
2state2ap2acc_parity_03089857006815921569_c,5,1,17,3,4,1,BUDGET,1000000,,,,,10.46
3state2ap2acc_parity_08047084544727828977737254914335587869492252_c,12,1,48,3,4,1,CONFLICT,1582,5,1,0,1,0.01
3state2ap2acc_parity_08047084544727828977737254914335587869492252_c,14,1,48,3,4,1,CONFLICT,2315,5,1,0,1,0.01
3state2ap2acc_parity_08047084544727828977737254914335587869492252_c,16,1,48,3,4,1,CONFLICT,2316,5,1,0,1,0.01
3state2ap2acc_parity_08052782858339911781905075859761354321790171,11,1,54,3,4,1,CONFLICT,10196,7,1,0,1,0.05
3state2ap2acc_parity_08052782858339911781905075859761354321790171,15,1,54,3,4,1,CONFLICT,11689,7,1,0,1,0.06
3state2ap2acc_parity_02791127200709611081342718726845015122588562_c,14,1,49,5,4,0,BUDGET,1000000,,,,,15.09
3state2ap2acc_parity_08052782858339911781905075859761354321790171,17,1,54,3,4,1,CONFLICT,12314,7,1,0,1,0.10
3state2ap2acc_parity_08052782858339911781905075859761354321790171_c,11,1,54,3,4,1,CONFLICT,10196,7,1,0,1,0.05
3state2ap2acc_parity_08052782858339911781905075859761354321790171_c,15,1,54,3,4,1,CONFLICT,11689,7,1,0,1,0.05
3state2ap2acc_parity_08052782858339911781905075859761354321790171_c,17,1,54,3,4,1,CONFLICT,12314,7,1,0,1,0.06
3state2ap2acc_parity_08740355406130659847866163342267046479471396,12,1,67,5,4,1,BUDGET,1000000,,,,,13.99
3state2ap2acc_parity_08740355406130659847866163342267046479471396,15,1,67,5,4,1,BUDGET,1000000,,,,,13.42
3state2ap2acc_parity_08740355406130659847866163342267046479471396,19,1,67,5,4,1,BUDGET,1000000,,,,,15.32
2state2ap2acc_parity_03089857006815921569_c,7,1,17,3,4,1,BUDGET,1000000,,,,,12.84
3state2ap2acc_parity_08740355406130659847866163342267046479471396,20,1,67,5,4,1,BUDGET,1000000,,,,,11.45
3state2ap2acc_parity_08740355406130659847866163342267046479471396_c,12,1,67,5,4,1,BUDGET,1000000,,,,,10.61
3state2ap2acc_parity_02962600147653635554458786091040961270417802,11,1,65,5,4,1,BUDGET,1000000,,,,,11.72
3state2ap2acc_parity_08740355406130659847866163342267046479471396_c,15,1,67,5,4,1,BUDGET,1000000,,,,,11.80
3state2ap2acc_parity_08740355406130659847866163342267046479471396_c,19,1,67,5,4,1,BUDGET,1000000,,,,,10.32
3state2ap2acc_parity_08740355406130659847866163342267046479471396_c,20,1,67,5,4,1,BUDGET,1000000,,,,,10.28
2state2ap2acc_parity_03498901325726090611,11,1,31,3,4,0,CONFLICT,368,5,1,0,1,0.00
2state2ap2acc_parity_03498901325726090611,13,1,31,3,4,0,CONFLICT,687,5,1,0,1,0.00
2state2ap2acc_parity_03498901325726090611,14,1,31,3,4,0,CONFLICT,598,5,1,0,1,0.00
2state2ap1acc_parity_3772037665_c,7,1,13,1,4,1,CLEAN,906162,,,,,13.07
2state2ap2acc_parity_03498901325726090611_c,11,1,31,3,4,0,CONFLICT,368,5,1,0,1,0.00
2state2ap2acc_parity_03498901325726090611_c,13,1,31,3,4,0,CONFLICT,687,5,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973,5,1,34,4,4,1,BUDGET,1000000,,,,,13.91
3state2ap2acc_parity_02962600147653635554458786091040961270417802,12,1,65,5,4,1,BUDGET,1000000,,,,,9.56
2state2ap2acc_parity_03498901325726090611_c,14,1,31,3,4,0,CONFLICT,598,5,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973,10,1,34,4,4,1,BUDGET,1000000,,,,,13.53
3state2ap2acc_parity_09049543896507004851437886576016916477206973,11,1,34,4,4,1,BUDGET,1000000,,,,,14.12
