id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
3state2ap2acc_parity_11196651764472471764951575104421032493189434,8,0,52,5,4,1,CONFLICT,35,2,1,0,1,0.00
3state2ap2acc_parity_11196651764472471764951575104421032493189434,11,0,52,5,4,1,CONFLICT,33,2,1,0,1,0.00
3state2ap2acc_parity_11196651764472471764951575104421032493189434,12,0,52,2,4,1,CONFLICT,9,3,1,0,1,0.00
3state2ap2acc_parity_11196651764472471764951575104421032493189434,15,0,52,5,4,1,CONFLICT,276747,2,1,0,1,2.24
3state2ap2acc_parity_11196651764472471764951575104421032493189434,16,0,52,5,4,1,CONFLICT,33,2,1,0,1,0.00
3state2ap2acc_parity_11196651764472471764951575104421032493189434_c,7,0,52,5,4,1,CONFLICT,123244,2,1,0,1,1.09
3state2ap2acc_parity_11196651764472471764951575104421032493189434_c,8,0,52,5,4,1,CONFLICT,35,2,1,0,1,0.00
3state2ap2acc_parity_11196651764472471764951575104421032493189434_c,11,0,52,5,4,1,CONFLICT,33,2,1,0,1,0.00
3state2ap2acc_parity_11196651764472471764951575104421032493189434_c,12,0,52,2,4,1,CONFLICT,9,3,1,0,1,0.00
2state2ap2acc_parity_03598501441036968601_c,8,0,32,3,4,1,CONFLICT,108,3,1,0,1,0.00
3state2ap2acc_parity_11196651764472471764951575104421032493189434_c,15,0,52,5,4,1,CONFLICT,276747,2,1,0,1,2.20
3state2ap2acc_parity_11196651764472471764951575104421032493189434_c,16,0,52,5,4,1,CONFLICT,33,2,1,0,1,0.00
3state2ap2acc_parity_11212325830812498350632114338631576633033320,6,0,144,5,4,1,CLEAN,14790,,,,,0.07
3state2ap2acc_parity_11212325830812498350632114338631576633033320,7,0,144,5,4,1,CLEAN,14790,,,,,0.12
3state2ap2acc_parity_11212325830812498350632114338631576633033320,8,0,144,8,4,1,BUDGET,1000000,,,,,7.01
3state2ap2acc_parity_11212325830812498350632114338631576633033320,12,0,144,5,4,1,CLEAN,14790,,,,,0.11
3state2ap2acc_parity_11212325830812498350632114338631576633033320,13,0,144,8,4,1,BUDGET,1000000,,,,,7.79
3state2ap2acc_parity_11212325830812498350632114338631576633033320,15,0,144,5,4,1,CLEAN,14790,,,,,0.07
3state2ap2acc_parity_11212325830812498350632114338631576633033320,16,0,144,3,4,1,CONFLICT,31,5,1,0,1,0.00
3state2ap2acc_parity_11212325830812498350632114338631576633033320,18,0,144,8,4,1,BUDGET,1000000,,,,,9.10
2state2ap2acc_parity_03598501441036968601_c,9,0,32,4,4,1,CLEAN,2920,,,,,0.02
