id,layer,nC,R,sigma,aperiodic,c3_status,result,pass_k,k0,k1,k2,k3,collectedF,max_states,absorption,group,other,other_split,bug,time_s
2state2ap2acc_parity_13965962140964882590_c,6,13,2,4,1,UNDECIDED,C@0,0,P,-,-,-,54,77,0,0,0,0,0,0.00
2state2ap2acc_parity_13965962140964882590_c,7,13,1,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13965962140964882590_c,8,13,2,4,1,UNDECIDED,C@0,0,P,-,-,-,54,77,0,0,0,0,0,0.00
2state2ap2acc_parity_13984262734307052699,2,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13984262734307052699,3,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_13984262734307052699,4,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13984262734307052699,5,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_13984262734307052699_c,2,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13984262734307052699_c,3,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_13984262734307052699_c,4,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13984262734307052699_c,5,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_13996973146915486277,5,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_13996973146915486277,6,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_13996973146915486277,7,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,15,15,0,0,0,0,0,0.00
2state2ap2acc_parity_13996973146915486277_c,5,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_13996973146915486277_c,6,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_13996973146915486277_c,7,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,15,15,0,0,0,0,0,0.00
2state1ap2acc_parity_0000349482,3,9,2,2,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14134640005280270741,5,21,2,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14134640005280270741_c,5,21,2,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14150628479935840387,3,11,2,3,0,UNDECIDED,C@0,0,P,-,-,-,15,21,0,0,0,0,0,0.00
2state2ap2acc_parity_14150628479935840387,4,11,2,3,0,UNDECIDED,C@0,0,P,-,-,-,15,21,0,0,0,0,0,0.00
2state2ap2acc_parity_14150628479935840387,5,11,2,3,0,UNDECIDED,C@0,0,P,-,-,-,15,21,0,0,0,0,0,0.00
2state2ap2acc_parity_14150628479935840387_c,3,11,2,3,0,UNDECIDED,C@0,0,P,-,-,-,15,21,0,0,0,0,0,0.00
2state2ap2acc_parity_14150628479935840387_c,4,11,2,3,0,UNDECIDED,C@0,0,P,-,-,-,15,21,0,0,0,0,0,0.00
2state2ap2acc_parity_14150628479935840387_c,5,11,2,3,0,UNDECIDED,C@0,0,P,-,-,-,15,21,0,0,0,0,0,0.00
2state2ap2acc_parity_14256415268443652305,4,9,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14256415268443652305,5,9,1,4,0,UNDECIDED,C@0,0,P,-,-,-,15,20,0,3,0,0,0,0.00
2state2ap2acc_parity_14256415268443652305_c,4,9,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14256415268443652305_c,5,9,1,4,0,UNDECIDED,C@0,0,P,-,-,-,15,20,0,3,0,0,0,0.00
2state2ap2acc_parity_14258488281636406183,2,21,3,4,1,UNDECIDED,C@0,0,P,-,-,-,6,5,0,0,0,0,0,0.00
2state2ap2acc_parity_14258488281636406183_c,2,21,3,4,1,UNDECIDED,C@0,0,P,-,-,-,6,5,0,0,0,0,0,0.00
2state2ap2acc_parity_14330239440957300868,1,17,3,4,1,UNDECIDED,C@0,0,P,-,-,-,19,26,0,0,0,0,0,0.00
2state2ap2acc_parity_14330239440957300868,4,17,3,4,1,UNDECIDED,C@0,0,P,-,-,-,19,26,0,0,0,0,0,0.00
2state2ap2acc_parity_14330239440957300868,5,17,3,4,1,UNDECIDED,C@0,0,P,-,-,-,19,26,0,0,0,0,0,0.00
2state2ap2acc_parity_14330239440957300868_c,1,17,3,4,1,UNDECIDED,C@0,0,P,-,-,-,19,26,0,0,0,0,0,0.00
2state2ap2acc_parity_14330239440957300868_c,4,17,3,4,1,UNDECIDED,C@0,0,P,-,-,-,19,26,0,0,0,0,0,0.00
2state2ap2acc_parity_14330239440957300868_c,5,17,3,4,1,UNDECIDED,C@0,0,P,-,-,-,19,26,0,0,0,0,0,0.00
2state1ap2acc_parity_0001134600,3,8,2,2,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14333480082093385877,7,29,4,4,1,UNDECIDED,C@0,0,P,-,-,-,95,159,0,0,0,0,0,0.03
2state2ap2acc_parity_14333480082093385877,9,29,4,4,1,UNDECIDED,C@0,0,P,-,-,-,95,159,0,0,0,0,0,0.03
2state2ap2acc_parity_14333480082093385877_c,7,29,4,4,1,UNDECIDED,C@0,0,P,-,-,-,95,159,0,0,0,0,0,0.06
2state2ap2acc_parity_14333480082093385877_c,9,29,4,4,1,UNDECIDED,C@0,0,P,-,-,-,95,159,0,0,0,0,0,0.06
2state2ap2acc_parity_14451275087401230350,2,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14451275087401230350,3,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_14451275087401230350,4,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14451275087401230350,5,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_14451275087401230350_c,2,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14451275087401230350_c,3,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_14451275087401230350_c,4,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14451275087401230350_c,5,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_14459783819944657321,2,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14459783819944657321,3,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14459783819944657321,4,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,9,9,0,0,0,0,0,0.00
2state2ap2acc_parity_14459783819944657321,5,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,9,9,0,0,0,0,0,0.00
2state2ap2acc_parity_14459783819944657321_c,2,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14459783819944657321_c,3,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14459783819944657321_c,4,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,9,9,0,0,0,0,0,0.00
2state2ap2acc_parity_14459783819944657321_c,5,12,2,4,0,UNDECIDED,C@0,0,P,-,-,-,9,9,0,0,0,0,0,0.00
2state2ap2acc_parity_14622514616524592366,6,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_14622514616524592366,7,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,15,15,0,0,0,0,0,0.00
2state2ap2acc_parity_14622514616524592366_c,6,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,7,7,0,0,0,0,0,0.00
2state2ap2acc_parity_14622514616524592366_c,7,8,1,4,1,UNDECIDED,C@0,0,P,-,-,-,15,15,0,0,0,0,0,0.00
2state2ap2acc_parity_14700613900789262013,1,21,4,4,1,UNDECIDED,C@0,0,P,-,-,-,24,34,0,0,0,0,0,0.01
2state2ap2acc_parity_14700613900789262013_c,1,21,4,4,1,UNDECIDED,C@0,0,P,-,-,-,24,34,0,0,0,0,0,0.01
2state1ap2acc_parity_0001191050,8,19,2,2,0,UNDECIDED,C@0,0,P,-,-,-,3,6,0,0,0,0,0,0.00
2state1ap2acc_parity_0001191050,9,19,2,2,0,UNDECIDED,C@0,0,P,-,-,-,3,6,0,0,0,0,0,0.00
2state1ap2acc_parity_0001191050,10,19,2,2,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state1ap2acc_parity_0001191050,11,19,1,2,0,UNDECIDED,C@1,1,C,P,-,-,6,18,0,30,0,0,0,0.00
2state2ap2acc_parity_14722989569212043335,4,18,2,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14722989569212043335,5,18,3,4,1,UNDECIDED,C@0,0,P,-,-,-,737,1343,0,0,0,0,0,0.19
2state2ap2acc_parity_14722989569212043335,6,18,2,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14722989569212043335,7,18,3,4,1,UNDECIDED,C@0,0,P,-,-,-,737,1343,0,0,0,0,0,0.19
2state2ap2acc_parity_14722989569212043335,8,18,3,4,1,UNDECIDED,C@0,0,P,-,-,-,737,1343,0,0,0,0,0,0.19
2state2ap2acc_parity_14722989569212043335_c,4,18,2,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14722989569212043335_c,5,18,3,4,1,UNDECIDED,C@0,0,P,-,-,-,737,1343,0,0,0,0,0,0.19
2state2ap2acc_parity_14722989569212043335_c,6,18,2,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14722989569212043335_c,7,18,3,4,1,UNDECIDED,C@0,0,P,-,-,-,737,1343,0,0,0,0,0,0.20
2state2ap2acc_parity_14722989569212043335_c,8,18,3,4,1,UNDECIDED,C@0,0,P,-,-,-,737,1343,0,0,0,0,0,0.20
2state2ap2acc_parity_14758967385165899847,3,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14758967385165899847_c,3,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_14760353784698885238,2,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,54,75,0,0,0,0,0,0.00
2state2ap2acc_parity_14760353784698885238,4,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,54,75,0,0,0,0,0,0.00
2state2ap2acc_parity_14760353784698885238_c,2,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,54,75,0,0,0,0,0,0.00
2state2ap2acc_parity_14760353784698885238_c,4,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,54,75,0,0,0,0,0,0.00
2state2ap2acc_parity_14852048103437422669,2,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,42,57,0,0,0,0,0,0.00
2state2ap2acc_parity_14852048103437422669,4,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,42,57,0,0,0,0,0,0.00
2state2ap2acc_parity_14852048103437422669_c,2,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,42,57,0,0,0,0,0,0.00
2state2ap2acc_parity_14852048103437422669_c,4,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,42,57,0,0,0,0,0,0.00
2state2ap2acc_parity_14910684475514925805,3,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.00
2state2ap2acc_parity_14910684475514925805,6,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.00
2state2ap2acc_parity_14910684475514925805,8,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,427,975,0,0,0,0,0,0.12
2state2ap2acc_parity_14910684475514925805,9,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.00
2state2ap2acc_parity_14910684475514925805,10,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,427,975,0,0,0,0,0,0.12
2state2ap2acc_parity_14910684475514925805,11,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,427,975,0,0,0,0,0,0.13
2state2ap2acc_parity_14910684475514925805_c,3,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.01
2state2ap2acc_parity_14910684475514925805_c,6,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.00
2state2ap2acc_parity_14910684475514925805_c,8,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,427,975,0,0,0,0,0,0.23
2state2ap2acc_parity_14910684475514925805_c,9,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.01
2state2ap2acc_parity_14910684475514925805_c,10,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,427,975,0,0,0,0,0,0.23
2state2ap2acc_parity_14910684475514925805_c,11,25,3,4,1,UNDECIDED,C@0,0,P,-,-,-,427,975,0,0,0,0,0,0.23
2state1ap2acc_parity_0001191050_c,8,19,2,2,0,UNDECIDED,C@0,0,P,-,-,-,3,6,0,0,0,0,0,0.00
2state1ap2acc_parity_0001191050_c,9,19,2,2,0,UNDECIDED,C@0,0,P,-,-,-,3,6,0,0,0,0,0,0.00
2state1ap2acc_parity_0001191050_c,10,19,2,2,0,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state1ap2acc_parity_0001191050_c,11,19,1,2,0,UNDECIDED,C@1,1,C,P,-,-,6,18,0,30,0,0,0,0.00
2state2ap2acc_parity_15000387690674922722,1,12,2,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.00
2state2ap2acc_parity_15000387690674922722,4,12,2,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.00
2state2ap2acc_parity_15000387690674922722,5,12,2,4,1,UNDECIDED,C@0,0,P,-,-,-,56,96,0,0,0,0,0,0.01
2state2ap2acc_parity_15000387690674922722,6,12,2,4,1,UNDECIDED,C@0,0,P,-,-,-,56,96,0,0,0,0,0,0.01
2state2ap2acc_parity_15000387690674922722_c,1,12,2,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.00
2state2ap2acc_parity_15000387690674922722_c,4,12,2,4,1,UNDECIDED,C@0,0,P,-,-,-,14,19,0,0,0,0,0,0.00
2state2ap2acc_parity_15000387690674922722_c,5,12,2,4,1,UNDECIDED,C@0,0,P,-,-,-,56,96,0,0,0,0,0,0.00
2state2ap2acc_parity_15000387690674922722_c,6,12,2,4,1,UNDECIDED,C@0,0,P,-,-,-,56,96,0,0,0,0,0,0.00
2state2ap2acc_parity_15006719037511641887,4,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,60,124,0,0,0,0,0,0.01
2state2ap2acc_parity_15006719037511641887,5,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,60,124,0,0,0,0,0,0.01
2state2ap2acc_parity_15006719037511641887,6,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,60,124,0,0,0,0,0,0.01
2state2ap2acc_parity_15006719037511641887_c,4,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,60,124,0,0,0,0,0,0.02
2state2ap2acc_parity_15006719037511641887_c,5,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,60,124,0,0,0,0,0,0.02
2state2ap2acc_parity_15006719037511641887_c,6,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,60,124,0,0,0,0,0,0.02
