id,k,R,frozen,has_anchors,terminal,pfxind,side,n_multi,n_acc
1state3ap1acc_00844_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00852,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00852_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00856,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00856_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00860,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00860_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00872,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00872_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00876,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00876_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00892,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00892_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00960,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00960_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00964,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00964_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00972,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00972_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00980,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00980_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00984,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00984_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00988,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00988_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01020,0,1,1,1,1,1,none(<2cls),0,0
1state3ap1acc_01020_c,0,1,1,1,1,1,none(<2cls),0,0
1state3ap1acc_01537,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01537_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01545,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01545_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01552,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01552_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01553,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01553_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01560,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01560_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01561,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01561_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01568,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01568_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01569,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01569_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01577,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01577_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01584,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01584_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01585,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01585_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01592,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01592_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01593,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01593_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01632,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01632_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01633,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01633_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01641,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01641_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01648,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01648_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01649,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01649_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01656,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01656_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01657,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01657_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01680,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01680_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01681,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01681_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01689,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01689_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01712,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01712_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01713,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01713_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01721,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01721_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01776,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01776_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01777,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01777_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01785,0,1,1,1,1,1,none(<2cls),0,0
1state3ap1acc_01785_c,0,1,1,1,1,1,none(<2cls),0,0
1state3ap1acc_01800,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01800_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01808,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01808_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01816,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01816_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01824,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01824_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01832,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01832_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01840,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01840_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01848,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01848_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01888,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01888_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01896,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01896_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01904,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01904_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01912,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01912_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01920,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01920_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01928,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01928_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01936,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01936_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01944,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01944_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01952,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01952_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01960,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01960_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01968,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01968_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01976,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_01976_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_02016,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_02016_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_02024,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_02024_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_02032,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_02032_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_02040,0,1,1,1,1,1,none(<2cls),0,0
1state3ap1acc_02040_c,0,1,1,1,1,1,none(<2cls),0,0
1state3ap1acc_02725,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_02725_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_03856,0,1,1,1,1,0,none(<2cls),0,0
