input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
aut_00583.hoa,LTL,acc,1.220,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00583.hoa
aut_00584.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.263,a & G(a | Xa),5,1,7,1.4,160e89dc0907,TRUE,genaut/corpus/2state1ap1acc/aut_00584.hoa
aut_00588.hoa,NOT_LTL,,1.206,,,,,,,,genaut/corpus/2state1ap1acc/aut_00588.hoa
aut_00612.hoa,LTL,buchi+daisy+deep_roundtrip,1.251,a & F(a & XXFa) & XG(!a | XXFa),11,3,18,1.6,8eec75ded36e,TRUE,genaut/corpus/2state1ap1acc/aut_00612.hoa
aut_00615.hoa,LTL,acc,1.240,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00615.hoa
aut_00616.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.265,a & G(a | Xa),5,1,7,1.4,160e89dc0907,TRUE,genaut/corpus/2state1ap1acc/aut_00616.hoa
aut_00620.hoa,NOT_LTL,,1.214,,,,,,,,genaut/corpus/2state1ap1acc/aut_00620.hoa
aut_00628.hoa,LTL,buchi+daisy+deep_roundtrip,1.254,a & F(a & XXFa) & XG(!a | XXFa),11,3,18,1.6,8eec75ded36e,TRUE,genaut/corpus/2state1ap1acc/aut_00628.hoa
aut_00631.hoa,LTL,acc,1.191,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00631.hoa
aut_00632.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.246,a & G(a | Xa),5,1,7,1.4,160e89dc0907,TRUE,genaut/corpus/2state1ap1acc/aut_00632.hoa
aut_00636.hoa,NOT_LTL,,1.198,,,,,,,,genaut/corpus/2state1ap1acc/aut_00636.hoa
aut_00644.hoa,NOT_LTL,,1.225,,,,,,,,genaut/corpus/2state1ap1acc/aut_00644.hoa
aut_00647.hoa,LTL,acc,1.232,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00647.hoa
aut_00648.hoa,LTL,daisy2,0.073,Ga,2,1,2,1.0,79182d6e45ae,TRUE,genaut/corpus/2state1ap1acc/aut_00648.hoa
aut_00652.hoa,NOT_LTL,,1.220,,,,,,,,genaut/corpus/2state1ap1acc/aut_00652.hoa
aut_00708.hoa,TIMEOUT,,16.011,,,,,,,,genaut/corpus/2state1ap1acc/aut_00708.hoa
aut_00711.hoa,LTL,buchi+daisy+deep_roundtrip+inv+strength2,1.236,a & GF!a,5,2,6,1.2,9d3b3036c852,TRUE,genaut/corpus/2state1ap1acc/aut_00711.hoa
aut_00712.hoa,LTL,partscc,0.083,a & G((a | Xa) & F!a),8,2,11,1.4,137572162786,TRUE,genaut/corpus/2state1ap1acc/aut_00712.hoa
aut_00716.hoa,LTL,buchi+daisy+deep_roundtrip+partscc,1.318,a & X(!a & G(Fa & (!a | X!a))),10,2,16,1.6,1737b59f31c7,TRUE,genaut/corpus/2state1ap1acc/aut_00716.hoa
aut_00770.hoa,LTL,daisy,0.075,!a & XGa,5,1,6,1.2,65541f1a02fa,TRUE,genaut/corpus/2state1ap1acc/aut_00770.hoa
aut_00800.hoa,LTL,partscc,0.083,!a & G((!a | X!a) & (a | Xa)),9,1,15,1.7,307ad4ea6833,TRUE,genaut/corpus/2state1ap1acc/aut_00800.hoa
aut_01046.hoa,LTL,acc,1.236,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01046.hoa
aut_01090.hoa,NOT_LTL,,1.229,,,,,,,,genaut/corpus/2state1ap1acc/aut_01090.hoa
aut_01120.hoa,NOT_LTL,,1.226,,,,,,,,genaut/corpus/2state1ap1acc/aut_01120.hoa
aut_01122.hoa,NOT_LTL,,1.228,,,,,,,,genaut/corpus/2state1ap1acc/aut_01122.hoa
aut_01123.hoa,LTL,acc,1.249,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01123.hoa
aut_01128.hoa,NOT_LTL,,1.228,,,,,,,,genaut/corpus/2state1ap1acc/aut_01128.hoa
aut_01132.hoa,LTL,daisy2,0.078,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_01132.hoa
aut_01154.hoa,TIMEOUT,,15.069,,,,,,,,genaut/corpus/2state1ap1acc/aut_01154.hoa
aut_01155.hoa,NOT_LTL,,1.224,,,,,,,,genaut/corpus/2state1ap1acc/aut_01155.hoa
aut_01168.hoa,LTL,daisy,0.074,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01168.hoa
aut_01170.hoa,LTL,daisy,0.076,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01170.hoa
aut_01376.hoa,LTL,daisy,0.074,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01376.hoa
aut_01556.hoa,LTL,daisy2,0.076,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01556.hoa
aut_01558.hoa,LTL,acc,1.226,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01558.hoa
aut_01559.hoa,LTL,acc,1.227,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01559.hoa
aut_01560.hoa,LTL,daisy2,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01560.hoa
aut_01564.hoa,LTL,daisy2,0.075,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01564.hoa
aut_01575.hoa,LTL,acc,1.225,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01575.hoa
aut_01576.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.276,X(a & G(a | Xa)),6,1,8,1.3,f81a669277ad,TRUE,genaut/corpus/2state1ap1acc/aut_01576.hoa
